time,gFx,gFy,gFz,TgF
17:39:54:804,1.0264,0.0271,0.1132,1.033
17:39:54:809,1.0308,0.0251,0.1103,1.037
17:39:54:816,1.0338,0.0258,0.1049,1.039
17:39:54:824,1.0338,0.0295,0.0946,1.038
17:39:54:825,1.0313,0.0364,0.0827,1.035
17:39:54:829,1.0269,0.0442,0.0756,1.031
17:39:54:835,1.0232,0.0520,0.0734,1.027
17:39:54:839,1.0210,0.0598,0.0734,1.025
17:39:54:845,1.0144,0.0642,0.0800,1.020
17:39:54:849,1.0052,0.0691,0.0895,1.011
17:39:54:855,1.0025,0.0745,0.0998,1.010
17:39:54:860,0.9949,0.0804,0.1073,1.004
17:39:54:870,0.9812,0.0867,0.1115,0.991
17:39:54:871,0.9643,0.0933,0.1132,0.975
17:39:54:875,0.9541,0.0950,0.1122,0.965
17:39:54:881,0.9502,0.0936,0.1078,0.961
17:39:54:885,0.9590,0.0926,0.1056,0.969
17:39:54:889,0.9580,0.0904,0.0963,0.967
17:39:54:899,0.9514,0.0882,0.0880,0.960
17:39:54:900,0.9585,0.0870,0.0919,0.967
17:39:54:905,0.9597,0.0818,0.0934,0.968
17:39:54:909,0.9553,0.0728,0.0939,0.963
17:39:54:915,0.9433,0.0745,0.0976,0.951
17:39:54:919,0.9475,0.0828,0.0985,0.956
17:39:54:925,0.9450,0.0826,0.0888,0.953
17:39:54:932,0.9411,0.0772,0.0741,0.947
17:39:54:936,0.9394,0.0681,0.0653,0.944
17:39:54:939,0.9416,0.0667,0.0658,0.946
17:39:54:954,0.9467,0.0723,0.0670,0.952
17:39:54:955,0.9387,0.0718,0.0685,0.944
17:39:54:956,0.9316,0.0676,0.0787,0.937
17:39:54:960,0.9286,0.0657,0.0912,0.935
17:39:54:966,0.9260,0.0674,0.1012,0.934
17:39:54:973,0.9203,0.0703,0.1093,0.929
17:39:54:976,0.9098,0.0706,0.1115,0.919
17:39:54:982,0.8991,0.0667,0.1100,0.908
17:39:54:985,0.8959,0.0620,0.1095,0.905
17:39:54:991,0.8974,0.0588,0.1110,0.906
17:39:54:997,0.8981,0.0569,0.1144,0.907
17:39:55:000,0.8993,0.0537,0.1191,0.909
17:39:55:005,0.9008,0.0493,0.1269,0.911
17:39:55:011,0.9020,0.0454,0.1340,0.913
17:39:55:018,0.9013,0.0427,0.1394,0.913
17:39:55:021,0.9015,0.0390,0.1440,0.914
17:39:55:026,0.9054,0.0344,0.1472,0.918
17:39:55:031,0.9096,0.0285,0.1491,0.922
17:39:55:036,0.9123,0.0234,0.1489,0.925
17:39:55:040,0.9140,0.0210,0.1472,0.926
17:39:55:054,0.9137,0.0190,0.1428,0.925
17:39:55:055,0.9123,0.0175,0.1384,0.923
17:39:55:056,0.9081,0.0175,0.1347,0.918
17:39:55:061,0.9037,0.0166,0.1315,0.913
17:39:55:065,0.8996,0.0166,0.1286,0.909
17:39:55:073,0.8959,0.0175,0.1247,0.905
17:39:55:076,0.8922,0.0178,0.1213,0.901
17:39:55:084,0.8861,0.0161,0.1222,0.895
17:39:55:085,0.8773,0.0153,0.1269,0.887
17:39:55:090,0.8729,0.0148,0.1310,0.883
17:39:55:097,0.8678,0.0148,0.1369,0.879
17:39:55:100,0.8556,0.0173,0.1447,0.868
17:39:55:105,0.8424,0.0229,0.1540,0.857
17:39:55:111,0.8323,0.0266,0.1618,0.848
17:39:55:117,0.8248,0.0276,0.1706,0.843
17:39:55:121,0.8182,0.0276,0.1787,0.838
17:39:55:125,0.8125,0.0258,0.1821,0.833
17:39:55:131,0.8106,0.0256,0.1804,0.831
17:39:55:138,0.8067,0.0285,0.1731,0.826
17:39:55:141,0.8035,0.0337,0.1621,0.820
17:39:55:150,0.8003,0.0393,0.1530,0.816
17:39:55:151,0.7976,0.0447,0.1489,0.813
17:39:55:156,0.7962,0.0488,0.1479,0.811
17:39:55:161,0.7937,0.0505,0.1511,0.810
17:39:55:166,0.7898,0.0508,0.1577,0.807
17:39:55:171,0.7842,0.0571,0.1621,0.803
17:39:55:177,0.7808,0.0654,0.1614,0.800
17:39:55:181,0.7773,0.0718,0.1567,0.796
17:39:55:186,0.7742,0.0760,0.1518,0.793
17:39:55:190,0.7732,0.0811,0.1494,0.792
17:39:55:196,0.7768,0.0855,0.1486,0.796
17:39:55:201,0.7798,0.0872,0.1479,0.798
17:39:55:206,0.7817,0.0887,0.1521,0.801
17:39:55:214,0.7854,0.0904,0.1614,0.807
17:39:55:217,0.7930,0.0936,0.1728,0.817
17:39:55:221,0.8032,0.0936,0.1829,0.829
17:39:55:226,0.8089,0.0916,0.1873,0.835
17:39:55:232,0.8167,0.0918,0.1841,0.842
17:39:55:236,0.8282,0.0926,0.1716,0.851
17:39:55:241,0.8414,0.0948,0.1526,0.860
17:39:55:247,0.8541,0.0953,0.1347,0.870
17:39:55:252,0.8680,0.0906,0.1244,0.882
17:39:55:257,0.8832,0.0821,0.1264,0.896
17:39:55:261,0.8966,0.0742,0.1372,0.910
17:39:55:267,0.9071,0.0718,0.1567,0.923
17:39:55:272,0.9157,0.0730,0.1802,0.936
17:39:55:276,0.9252,0.0735,0.2093,0.951
17:39:55:282,0.9370,0.0733,0.2454,0.971
17:39:55:287,0.9550,0.0742,0.2870,1.000
17:39:55:293,0.9729,0.0713,0.3227,1.027
17:39:55:296,0.9858,0.0696,0.3486,1.048
17:39:55:301,0.9961,0.0674,0.3689,1.064
17:39:55:307,0.9998,0.0659,0.3799,1.072
17:39:55:312,1.0012,0.0676,0.3711,1.070
17:39:55:317,1.0088,0.0703,0.3422,1.068
17:39:55:321,1.0120,0.0738,0.3066,1.060
17:39:55:326,1.0017,0.0860,0.2740,1.042
17:39:55:331,0.9819,0.1046,0.2418,1.017
17:39:55:341,0.9724,0.1124,0.2005,0.999
17:39:55:342,0.9856,0.1060,0.1489,1.002
17:39:55:350,1.0083,0.0933,0.0914,1.017
17:39:55:351,1.0272,0.0762,0.0321,1.030
17:39:55:359,1.0426,0.0527,-0.0261,1.044
17:39:55:369,1.0638,0.0271,-0.0811,1.067
17:39:55:370,1.0853,-0.0005,-0.1232,1.092
17:39:55:371,1.1110,-0.0291,-0.1547,1.122
17:39:55:379,1.1545,-0.0619,-0.1804,1.170
17:39:55:382,1.2134,-0.0993,-0.1943,1.233
17:39:55:387,1.2660,-0.1357,-0.1899,1.287
17:39:55:392,1.3002,-0.1687,-0.1804,1.323
17:39:55:398,1.3168,-0.1873,-0.1740,1.341
17:39:55:402,1.3149,-0.1915,-0.1740,1.340
17:39:55:407,1.2885,-0.1807,-0.1853,1.314
17:39:55:413,1.2550,-0.1602,-0.1943,1.280
17:39:55:418,1.2163,-0.1460,-0.1987,1.241
17:39:55:422,1.1814,-0.1206,-0.2009,1.204
17:39:55:426,1.1411,-0.0785,-0.1965,1.161
17:39:55:432,1.0809,-0.0365,-0.1809,1.097
17:39:55:438,1.0171,-0.0106,-0.1562,1.029
17:39:55:442,0.9726,0.0038,-0.1266,0.981
17:39:55:450,0.9558,0.0114,-0.0919,0.960
17:39:55:453,0.9609,0.0207,-0.0410,0.962
17:39:55:458,0.9814,0.0324,0.0269,0.982
17:39:55:462,1.0210,0.0383,0.1051,1.027
17:39:55:468,1.0848,0.0295,0.1904,1.102
17:39:55:472,1.1657,-0.0013,0.2743,1.198
17:39:55:481,1.2572,-0.0521,0.3574,1.308
17:39:55:482,1.3637,-0.1098,0.4361,1.436
17:39:55:487,1.4598,-0.1516,0.4882,1.547
17:39:55:493,1.5153,-0.1775,0.4598,1.593
17:39:55:498,1.5317,-0.1919,0.3237,1.577
17:39:55:502,1.5248,-0.1712,0.1098,1.538
17:39:55:507,1.5065,-0.1093,-0.1312,1.516
17:39:55:512,1.4718,-0.0269,-0.3485,1.513
17:39:55:518,1.4432,0.0459,-0.4874,1.524
17:39:55:523,1.3835,0.1055,-0.5353,1.487
17:39:55:527,1.3241,0.1662,-0.5064,1.427
17:39:55:532,1.3107,0.2006,-0.4307,1.394
17:39:55:538,1.3430,0.2126,-0.3153,1.396
17:39:55:542,1.3948,0.2197,-0.1862,1.424
17:39:55:550,1.4222,0.2256,-0.0740,1.442
17:39:55:553,1.3938,0.2322,0.0049,1.413
17:39:55:562,1.3290,0.2270,0.0526,1.349
17:39:55:564,1.2437,0.1982,0.0592,1.261
17:39:55:567,1.1599,0.1576,0.0479,1.172
17:39:55:572,1.0834,0.1165,0.0360,1.090
17:39:55:581,1.0113,0.0750,0.0281,1.014
17:39:55:582,0.9484,0.0376,0.0255,0.950
17:39:55:588,0.8910,0.0021,0.0423,0.892
17:39:55:593,0.8228,-0.0350,0.0751,0.827
17:39:55:598,0.7676,-0.0609,0.1002,0.776
17:39:55:602,0.7275,-0.0739,0.1188,0.741
17:39:55:608,0.6935,-0.0839,0.1213,0.709
17:39:55:615,0.6615,-0.0893,0.1068,0.676
17:39:55:618,0.6348,-0.0927,0.0824,0.647
17:39:55:622,0.6141,-0.0961,0.0541,0.624
17:39:55:631,0.6006,-0.1000,0.0323,0.610
17:39:55:633,0.5955,-0.1064,0.0203,0.605
17:39:55:638,0.6114,-0.1083,0.0091,0.621
17:39:55:642,0.6353,-0.1047,-0.0017,0.644
17:39:55:651,0.6666,-0.0991,-0.0058,0.674
17:39:55:654,0.7069,-0.0915,-0.0093,0.713
17:39:55:658,0.7492,-0.0822,-0.0122,0.754
17:39:55:666,0.7866,-0.0758,-0.0095,0.790
17:39:55:668,0.8142,-0.0722,0.0032,0.817
17:39:55:672,0.8321,-0.0680,0.0242,0.835
17:39:55:681,0.8453,-0.0597,0.0497,0.849
17:39:55:683,0.8612,-0.0482,0.0721,0.866
17:39:55:689,0.8812,-0.0357,0.0885,0.886
17:39:55:692,0.9071,-0.0235,0.0983,0.913
17:39:55:698,0.9377,-0.0098,0.1039,0.943
17:39:55:703,0.9695,-0.0005,0.1073,0.975
17:39:55:708,0.9849,0.0139,0.1103,0.991
