time,gFx,gFy,gFz,TgF
17:40:36:984,0.9675,0.0645,-0.0322,0.970
17:40:36:985,0.9702,0.0579,-0.0100,0.972
17:40:36:986,0.9712,0.0593,0.0022,0.973
17:40:36:993,0.9770,0.0623,0.0105,0.979
17:40:36:993,0.9814,0.0637,0.0137,0.984
17:40:36:997,0.9834,0.0625,0.0171,0.986
17:40:37:002,0.9866,0.0628,0.0296,0.989
17:40:37:006,0.9944,0.0620,0.0470,0.997
17:40:37:011,1.0076,0.0603,0.0594,1.011
17:40:37:017,1.0191,0.0591,0.0702,1.023
17:40:37:022,1.0254,0.0584,0.0814,1.030
17:40:37:027,1.0303,0.0576,0.0949,1.036
17:40:37:032,1.0367,0.0535,0.1191,1.045
17:40:37:037,1.0369,0.0276,0.1584,1.049
17:40:37:042,1.0364,0.0256,0.1746,1.051
17:40:37:046,1.0482,0.0408,0.1665,1.062
17:40:37:052,1.0426,0.0557,0.1504,1.055
17:40:37:057,1.0347,0.0615,0.1298,1.045
17:40:37:062,1.0306,0.0615,0.1042,1.038
17:40:37:068,1.0259,0.0608,0.0797,1.031
17:40:37:072,1.0218,0.0608,0.0602,1.025
17:40:37:077,1.0186,0.0591,0.0443,1.021
17:40:37:082,1.0157,0.0566,0.0367,1.018
17:40:37:101,1.0135,0.0542,0.0328,1.015
17:40:37:102,1.0115,0.0532,0.0328,1.013
17:40:37:102,1.0064,0.0537,0.0357,1.008
17:40:37:103,0.9993,0.0566,0.0384,1.002
17:40:37:118,0.9900,0.0615,0.0433,0.993
17:40:37:119,0.9785,0.0669,0.0528,0.982
17:40:37:120,0.9687,0.0745,0.0624,0.974
17:40:37:122,0.9592,0.0818,0.0673,0.965
17:40:37:127,0.9480,0.0899,0.0719,0.955
17:40:37:132,0.9396,0.0970,0.0758,0.948
17:40:37:137,0.9377,0.1031,0.0746,0.946
17:40:37:143,0.9382,0.1070,0.0729,0.947
17:40:37:148,0.9379,0.1053,0.0739,0.947
17:40:37:152,0.9345,0.1014,0.0773,0.943
17:40:37:158,0.9291,0.0994,0.0827,0.938
17:40:37:163,0.9262,0.1009,0.0880,0.936
17:40:37:170,0.9238,0.1033,0.0866,0.934
17:40:37:172,0.9208,0.1048,0.0824,0.930
17:40:37:177,0.9162,0.1063,0.0802,0.926
17:40:37:183,0.9135,0.1055,0.0822,0.923
17:40:37:187,0.9152,0.1006,0.0870,0.925
17:40:37:192,0.9174,0.0940,0.0932,0.927
17:40:37:197,0.9191,0.0882,0.1017,0.929
17:40:37:203,0.9191,0.0811,0.1132,0.930
17:40:37:207,0.9203,0.0716,0.1230,0.931
17:40:37:212,0.9218,0.0606,0.1252,0.932
17:40:37:218,0.9208,0.0500,0.1252,0.931
17:40:37:223,0.9191,0.0417,0.1291,0.929
17:40:37:227,0.9167,0.0376,0.1354,0.927
17:40:37:232,0.9147,0.0378,0.1430,0.927
17:40:37:238,0.9132,0.0393,0.1491,0.926
17:40:37:243,0.9120,0.0417,0.1513,0.925
17:40:37:247,0.9103,0.0444,0.1450,0.923
17:40:37:255,0.9057,0.0449,0.1318,0.916
17:40:37:258,0.8998,0.0447,0.1181,0.909
17:40:37:263,0.8922,0.0447,0.1105,0.900
17:40:37:277,0.8873,0.0425,0.1051,0.895
17:40:37:278,0.8871,0.0361,0.0985,0.893
17:40:37:279,0.8851,0.0322,0.0907,0.890
17:40:37:284,0.8793,0.0302,0.0875,0.884
17:40:37:288,0.8778,0.0295,0.0951,0.883
17:40:37:293,0.8795,0.0273,0.1046,0.886
17:40:37:298,0.8827,0.0224,0.1115,0.890
17:40:37:304,0.8888,0.0173,0.1262,0.898
17:40:37:308,0.8952,0.0112,0.1416,0.906
17:40:37:313,0.8988,0.0090,0.1533,0.912
17:40:37:318,0.9003,0.0070,0.1538,0.913
17:40:37:323,0.8988,0.0065,0.1474,0.911
17:40:37:328,0.8930,0.0051,0.1384,0.904
17:40:37:334,0.8824,0.0104,0.1325,0.892
17:40:37:338,0.8734,0.0241,0.1244,0.883
17:40:37:343,0.8707,0.0283,0.1012,0.877
17:40:37:348,0.8656,0.0302,0.0665,0.869
17:40:37:354,0.8516,0.0322,0.0279,0.853
17:40:37:358,0.8321,0.0403,-0.0014,0.833
17:40:37:364,0.8182,0.0537,-0.0215,0.820
17:40:37:379,0.8054,0.0654,-0.0366,0.809
17:40:37:380,0.7952,0.0769,-0.0447,0.800
17:40:37:381,0.7852,0.0887,-0.0442,0.791
17:40:37:385,0.7776,0.0984,-0.0391,0.785
17:40:37:389,0.7742,0.1033,-0.0352,0.782
17:40:37:393,0.7761,0.1053,-0.0325,0.784
17:40:37:398,0.7820,0.1063,-0.0317,0.790
17:40:37:404,0.7908,0.1065,-0.0308,0.799
17:40:37:409,0.7979,0.1070,-0.0244,0.805
17:40:37:413,0.8003,0.1065,-0.0134,0.807
17:40:37:418,0.7988,0.1043,0.0079,0.806
17:40:37:424,0.7935,0.1009,0.0372,0.801
17:40:37:428,0.7790,0.1002,0.0675,0.788
17:40:37:435,0.7571,0.1072,0.0895,0.770
17:40:37:440,0.7436,0.1138,0.1020,0.759
17:40:37:446,0.7419,0.1136,0.1012,0.757
17:40:37:449,0.7448,0.1131,0.0936,0.759
17:40:37:454,0.7404,0.1121,0.0944,0.755
17:40:37:458,0.7417,0.1077,0.1015,0.756
17:40:37:464,0.7588,0.1028,0.1059,0.773
17:40:37:478,0.7896,0.0982,0.1029,0.802
17:40:37:479,0.8304,0.0916,0.1029,0.842
17:40:37:480,0.8680,0.0855,0.1081,0.879
17:40:37:484,0.8959,0.0826,0.1117,0.907
17:40:37:489,0.9194,0.0823,0.1073,0.929
17:40:37:497,0.9392,0.0848,0.1000,0.948
17:40:37:498,0.9516,0.0870,0.0998,0.961
17:40:37:504,0.9550,0.0813,0.1117,0.965
17:40:37:508,0.9511,0.0701,0.1284,0.962
17:40:37:514,0.9467,0.0603,0.1464,0.960
17:40:37:518,0.9453,0.0579,0.1675,0.962
17:40:37:525,0.9438,0.0642,0.1887,0.965
17:40:37:528,0.9382,0.0772,0.2022,0.963
17:40:37:534,0.9301,0.0887,0.2039,0.956
17:40:37:539,0.9252,0.0948,0.1897,0.949
17:40:37:545,0.9162,0.0987,0.1611,0.935
17:40:37:549,0.8954,0.1048,0.1330,0.911
17:40:37:554,0.8746,0.1090,0.1112,0.888
17:40:37:559,0.8639,0.1112,0.0902,0.876
17:40:37:564,0.8541,0.1187,0.0677,0.865
17:40:37:578,0.8472,0.1263,0.0514,0.858
17:40:37:579,0.8487,0.1290,0.0455,0.860
17:40:37:580,0.8597,0.1270,0.0487,0.870
17:40:37:584,0.8778,0.1197,0.0514,0.887
17:40:37:589,0.9015,0.1092,0.0448,0.909
17:40:37:597,0.9257,0.0967,0.0306,0.931
17:40:37:599,0.9448,0.0843,0.0096,0.949
17:40:37:605,0.9602,0.0706,-0.0171,0.963
17:40:37:609,0.9756,0.0530,-0.0410,0.978
17:40:37:614,0.9920,0.0320,-0.0608,0.994
17:40:37:619,1.0171,0.0085,-0.0806,1.020
17:40:37:625,1.0514,-0.0147,-0.1036,1.057
17:40:37:630,1.0836,-0.0262,-0.1361,1.092
17:40:37:635,1.1120,-0.0274,-0.1686,1.125
17:40:37:642,1.1428,-0.0301,-0.2016,1.161
17:40:37:645,1.1726,-0.0360,-0.2327,1.196
17:40:37:649,1.2002,-0.0401,-0.2552,1.228
17:40:37:654,1.2264,-0.0397,-0.2762,1.258
17:40:37:659,1.2572,-0.0348,-0.2967,1.292
17:40:37:665,1.2955,-0.0272,-0.3036,1.331
17:40:37:677,1.3393,-0.0252,-0.2860,1.370
17:40:37:678,1.3806,-0.0326,-0.2439,1.402
17:40:37:679,1.4124,-0.0389,-0.1901,1.426
17:40:37:685,1.4334,-0.0367,-0.1369,1.440
17:40:37:691,1.4451,-0.0260,-0.0919,1.448
17:40:37:695,1.4532,-0.0130,-0.0599,1.454
17:40:37:699,1.4618,-0.0076,-0.0405,1.462
17:40:37:710,1.4728,-0.0064,-0.0239,1.473
17:40:37:711,1.4838,-0.0067,-0.0063,1.484
17:40:37:715,1.4970,-0.0089,0.0013,1.497
17:40:37:719,1.5104,-0.0184,-0.0005,1.511
17:40:37:726,1.5226,-0.0323,-0.0141,1.523
17:40:37:729,1.5258,-0.0467,-0.0298,1.527
17:40:37:735,1.5204,-0.0614,-0.0440,1.522
17:40:37:739,1.5199,-0.0707,-0.0547,1.523
17:40:37:746,1.5126,-0.0780,-0.0738,1.516
17:40:37:751,1.5006,-0.0783,-0.0938,1.506
17:40:37:755,1.4842,-0.0665,-0.1222,1.491
17:40:37:759,1.4427,-0.0511,-0.1571,1.452
17:40:37:765,1.4031,-0.0365,-0.1733,1.414
17:40:37:772,1.3774,-0.0213,-0.1760,1.389
17:40:37:776,1.3378,0.0007,-0.1791,1.350
17:40:37:780,1.2833,0.0222,-0.1755,1.295
17:40:37:795,1.2291,0.0342,-0.1606,1.240
17:40:37:796,1.1890,0.0420,-0.1342,1.197
17:40:37:797,1.1540,0.0452,-0.1012,1.159
17:40:37:800,1.1161,0.0432,-0.0694,1.119
17:40:37:806,1.0712,0.0383,-0.0405,1.073
17:40:37:812,1.0203,0.0332,-0.0139,1.021
17:40:37:815,0.9678,0.0210,0.0213,0.968
17:40:37:823,0.9213,0.0046,0.0580,0.923
17:40:37:826,0.8851,-0.0069,0.0802,0.889
17:40:37:830,0.8575,-0.0169,0.0829,0.862
17:40:37:835,0.8362,-0.0265,0.0785,0.840
17:40:37:840,0.8150,-0.0343,0.0731,0.819
17:40:37:846,0.7927,-0.0414,0.0724,0.797
17:40:37:851,0.7634,-0.0453,0.0690,0.768
17:40:37:855,0.7314,-0.0489,0.0680,0.736
17:40:37:860,0.6996,-0.0445,0.0829,0.706
17:40:37:866,0.7030,-0.0321,0.0814,0.708
17:40:37:870,0.6854,-0.0003,0.0453,0.687
17:40:37:875,0.6629,-0.0010,0.0013,0.663
17:40:37:880,0.6576,0.0004,-0.0322,0.658
17:40:37:892,0.6380,-0.0098,-0.0625,0.641
17:40:37:893,0.6258,-0.0120,-0.0789,0.631
17:40:37:897,0.6197,-0.0086,-0.0914,0.626
17:40:37:905,0.6062,-0.0020,-0.1100,0.616
17:40:37:906,0.5923,0.0058,-0.1224,0.605
17:40:37:910,0.5859,0.0109,-0.1310,0.601
17:40:37:915,0.5945,0.0085,-0.1386,0.610
17:40:37:920,0.6145,0.0053,-0.1444,0.631
17:40:37:926,0.6361,0.0034,-0.1425,0.652
17:40:37:930,0.6605,0.0041,-0.1266,0.673
17:40:37:936,0.6906,0.0034,-0.1034,0.698
17:40:37:941,0.7175,-0.0015,-0.0789,0.722
