time,gFx,gFy,gFz,TgF
17:39:00:005,0.9893,-0.0133,-0.0083,0.989
17:39:00:006,0.9932,-0.0230,0.0081,0.993
17:39:00:021,0.9900,-0.0289,0.0054,0.990
17:39:00:022,0.9856,-0.0282,-0.0085,0.986
17:39:00:023,0.9797,-0.0221,-0.0227,0.980
17:39:00:024,0.9792,-0.0191,-0.0254,0.980
17:39:00:028,0.9861,-0.0230,-0.0119,0.986
17:39:00:028,0.9917,-0.0277,0.0059,0.992
17:39:00:036,0.9942,-0.0274,0.0189,0.995
17:39:00:040,0.9961,-0.0252,0.0237,0.997
17:39:00:043,0.9951,-0.0247,0.0225,0.996
17:39:00:049,0.9946,-0.0291,0.0169,0.995
17:39:00:054,0.9949,-0.0353,0.0093,0.996
17:39:00:059,0.9920,-0.0379,0.0047,0.993
17:39:00:064,0.9890,-0.0367,0.0037,0.990
17:39:00:069,0.9871,-0.0340,0.0035,0.988
17:39:00:076,0.9849,-0.0323,0.0044,0.985
17:39:00:078,0.9785,-0.0277,0.0054,0.979
17:39:00:084,0.9751,-0.0262,0.0091,0.975
17:39:00:090,0.9778,-0.0287,0.0167,0.978
17:39:00:094,0.9792,-0.0296,0.0286,0.980
17:39:00:099,0.9780,-0.0267,0.0426,0.979
17:39:00:103,0.9780,-0.0216,0.0526,0.980
17:39:00:109,0.9834,-0.0181,0.0565,0.985
17:39:00:114,0.9861,-0.0145,0.0572,0.988
17:39:00:119,0.9800,-0.0081,0.0558,0.982
17:39:00:132,0.9726,-0.0015,0.0536,0.974
17:39:00:133,0.9702,0.0016,0.0487,0.971
17:39:00:135,0.9665,0.0016,0.0423,0.967
17:39:00:140,0.9607,0.0002,0.0362,0.961
17:39:00:144,0.9558,-0.0008,0.0316,0.956
17:39:00:149,0.9521,0.0024,0.0272,0.953
17:39:00:154,0.9504,0.0065,0.0228,0.951
17:39:00:160,0.9470,0.0112,0.0211,0.947
17:39:00:164,0.9467,0.0126,0.0198,0.947
17:39:00:169,0.9541,0.0134,0.0189,0.954
17:39:00:174,0.9634,0.0146,0.0179,0.964
17:39:00:179,0.9690,0.0156,0.0206,0.969
17:39:00:185,0.9709,0.0173,0.0245,0.971
17:39:00:190,0.9714,0.0210,0.0252,0.972
17:39:00:197,0.9768,0.0234,0.0201,0.977
17:39:00:199,0.9856,0.0251,0.0147,0.986
17:39:00:205,0.9915,0.0280,0.0118,0.992
17:39:00:210,0.9924,0.0332,0.0079,0.993
17:39:00:215,0.9942,0.0386,0.0017,0.995
17:39:00:219,0.9993,0.0408,-0.0058,1.000
17:39:00:233,1.0066,0.0420,-0.0173,1.008
17:39:00:234,1.0071,0.0476,-0.0325,1.009
17:39:00:235,1.0069,0.0579,-0.0493,1.010
17:39:00:240,0.9898,0.0723,-0.0679,0.995
17:39:00:245,0.9736,0.0855,-0.0809,0.981
17:39:00:253,0.9695,0.0938,-0.0914,0.978
17:39:00:265,0.9638,0.0972,-0.0990,0.974
17:39:00:266,0.9563,0.0975,-0.0970,0.966
17:39:00:267,0.9440,0.0977,-0.0872,0.953
17:39:00:270,0.9250,0.1016,-0.0748,0.934
17:39:00:276,0.9057,0.1080,-0.0633,0.914
17:39:00:279,0.8859,0.1146,-0.0491,0.895
17:39:00:284,0.8702,0.1182,-0.0293,0.879
17:39:00:291,0.8548,0.1222,-0.0031,0.864
17:39:00:297,0.8426,0.1295,0.0281,0.853
17:39:00:302,0.8355,0.1339,0.0624,0.848
17:39:00:306,0.8367,0.1332,0.0951,0.853
17:39:00:311,0.8463,0.1297,0.1264,0.865
17:39:00:316,0.8641,0.1234,0.1599,0.887
17:39:00:319,0.8878,0.1146,0.1922,0.916
17:39:00:333,0.9157,0.1055,0.2168,0.947
17:39:00:334,0.9465,0.1002,0.2359,0.981
17:39:00:336,0.9788,0.0943,0.2540,1.016
17:39:00:351,1.0127,0.0848,0.2640,1.050
17:39:00:352,1.0411,0.0752,0.2626,1.076
17:39:00:352,1.0580,0.0698,0.2474,1.089
17:39:00:357,1.0577,0.0742,0.2164,1.082
17:39:00:360,1.0499,0.0838,0.1760,1.068
17:39:00:365,1.0518,0.0867,0.1428,1.065
17:39:00:370,1.0692,0.0811,0.1183,1.079
17:39:00:377,1.0851,0.0838,0.0946,1.092
17:39:00:380,1.0851,0.0955,0.0814,1.092
17:39:00:385,1.0890,0.1038,0.0787,1.097
17:39:00:390,1.1000,0.1048,0.0839,1.108
17:39:00:396,1.1073,0.1026,0.0966,1.116
17:39:00:400,1.1044,0.1033,0.1137,1.115
17:39:00:405,1.0924,0.1114,0.1293,1.106
17:39:00:410,1.0819,0.1214,0.1394,1.098
17:39:00:416,1.0672,0.1266,0.1374,1.083
17:39:00:420,1.0516,0.1300,0.1308,1.068
17:39:00:429,1.0394,0.1292,0.1237,1.055
17:39:00:430,1.0181,0.1278,0.1117,1.032
17:39:00:436,0.9929,0.1292,0.0966,1.006
17:39:00:442,0.9680,0.1280,0.0817,0.980
17:39:00:445,0.9460,0.1263,0.0699,0.957
17:39:00:451,0.9301,0.1239,0.0646,0.941
17:39:00:457,0.9159,0.1182,0.0624,0.926
17:39:00:460,0.8991,0.1109,0.0629,0.908
17:39:00:465,0.8890,0.1094,0.0729,0.899
17:39:00:471,0.8790,0.1090,0.0836,0.890
17:39:00:476,0.8776,0.1092,0.0941,0.889
17:39:00:481,0.8624,0.1043,0.0922,0.874
17:39:00:485,0.8646,0.1075,0.0905,0.876
17:39:00:491,0.8509,0.1065,0.0751,0.861
17:39:00:497,0.8558,0.1063,0.0643,0.865
17:39:00:501,0.8587,0.0984,0.0497,0.866
17:39:00:506,0.8746,0.0933,0.0455,0.881
17:39:00:510,0.9025,0.0972,0.0563,0.909
17:39:00:517,0.9137,0.1011,0.0734,0.922
17:39:00:521,0.9147,0.1041,0.0941,0.925
17:39:00:526,0.9162,0.1087,0.1125,0.929
17:39:00:530,0.9174,0.1126,0.1254,0.933
17:39:00:537,0.9176,0.1146,0.1359,0.935
17:39:00:549,0.9198,0.1156,0.1384,0.937
17:39:00:550,0.9233,0.1160,0.1318,0.940
17:39:00:551,0.9233,0.1158,0.1230,0.939
17:39:00:556,0.9159,0.1156,0.1176,0.931
17:39:00:561,0.9049,0.1175,0.1176,0.920
17:39:00:566,0.8974,0.1185,0.1181,0.913
17:39:00:571,0.8961,0.1178,0.1171,0.911
