time,gFx,gFy,gFz,TgF
16:43:36:073,0.9966,0.0488,0.1071,1.004
16:43:36:076,1.0022,0.0464,0.1029,1.009
16:43:36:084,1.0047,0.0483,0.0976,1.011
16:43:36:086,1.0081,0.0481,0.0922,1.013
16:43:36:092,1.0091,0.0434,0.0831,1.013
16:43:36:097,1.0071,0.0390,0.0792,1.011
16:43:36:102,1.0052,0.0378,0.0827,1.009
16:43:36:106,1.0012,0.0383,0.0912,1.006
16:43:36:115,0.9973,0.0378,0.0990,1.003
16:43:36:116,0.9951,0.0381,0.1037,1.001
16:43:36:122,0.9934,0.0381,0.1098,1.000
16:43:36:127,0.9929,0.0398,0.1159,1.000
16:43:36:132,0.9912,0.0386,0.1198,0.999
16:43:36:138,0.9861,0.0349,0.1188,0.994
16:43:36:141,0.9812,0.0454,0.1242,0.990
16:43:36:148,0.9775,0.0571,0.1301,0.988
16:43:36:154,0.9768,0.0610,0.1279,0.987
16:43:36:157,0.9783,0.0593,0.1240,0.988
16:43:36:163,0.9807,0.0559,0.1198,0.990
16:43:36:167,0.9839,0.0518,0.1149,0.992
16:43:36:173,0.9861,0.0503,0.1110,0.994
16:43:36:177,0.9846,0.0520,0.1105,0.992
16:43:36:188,0.9797,0.0505,0.1105,0.987
16:43:36:189,0.9770,0.0464,0.1112,0.984
16:43:36:193,0.9761,0.0444,0.1117,0.983
16:43:36:197,0.9741,0.0452,0.1100,0.981
16:43:36:202,0.9709,0.0481,0.1054,0.978
16:43:36:207,0.9685,0.0493,0.0993,0.975
16:43:36:212,0.9673,0.0442,0.0917,0.973
16:43:36:218,0.9656,0.0390,0.0849,0.970
16:43:36:222,0.9687,0.0447,0.0866,0.974
16:43:36:227,0.9751,0.0503,0.0924,0.981
16:43:36:233,0.9817,0.0522,0.0971,0.988
16:43:36:237,0.9893,0.0520,0.1015,0.996
16:43:36:242,0.9939,0.0488,0.1046,1.001
16:43:36:249,0.9946,0.0478,0.1056,1.001
16:43:36:253,0.9942,0.0493,0.1071,1.001
16:43:36:258,0.9929,0.0500,0.1078,1.000
16:43:36:262,0.9912,0.0510,0.1068,0.998
16:43:36:271,0.9902,0.0530,0.1037,0.997
16:43:36:273,0.9895,0.0544,0.1015,0.996
16:43:36:277,0.9895,0.0549,0.1012,0.996
16:43:36:283,0.9883,0.0549,0.1012,0.995
16:43:36:287,0.9858,0.0542,0.1022,0.993
16:43:36:293,0.9832,0.0552,0.1024,0.990
16:43:36:298,0.9814,0.0574,0.1024,0.988
16:43:36:303,0.9817,0.0593,0.1044,0.989
16:43:36:307,0.9814,0.0574,0.1037,0.989
16:43:36:313,0.9797,0.0544,0.1000,0.986
16:43:36:318,0.9778,0.0522,0.0919,0.983
16:43:36:322,0.9766,0.0515,0.0824,0.981
16:43:36:327,0.9744,0.0513,0.0753,0.979
16:43:36:334,0.9724,0.0508,0.0736,0.977
16:43:36:337,0.9707,0.0513,0.0761,0.975
16:43:36:344,0.9682,0.0530,0.0807,0.973
16:43:36:349,0.9675,0.0537,0.0873,0.973
16:43:36:354,0.9690,0.0532,0.0929,0.975
16:43:36:358,0.9695,0.0535,0.0973,0.976
16:43:36:362,0.9704,0.0535,0.1017,0.977
16:43:36:367,0.9712,0.0542,0.1027,0.978
16:43:36:374,0.9736,0.0552,0.1012,0.980
16:43:36:378,0.9797,0.0544,0.0980,0.986
16:43:36:385,0.9866,0.0530,0.0934,0.992
16:43:36:389,0.9880,0.0522,0.0890,0.993
16:43:36:393,0.9836,0.0540,0.0870,0.989
16:43:36:399,0.9795,0.0559,0.0892,0.985
16:43:36:403,0.9773,0.0581,0.0905,0.983
16:43:36:408,0.9763,0.0591,0.0900,0.982
16:43:36:416,0.9758,0.0596,0.0885,0.982
16:43:36:419,0.9768,0.0591,0.0890,0.983
16:43:36:423,0.9780,0.0591,0.0902,0.984
16:43:36:428,0.9773,0.0588,0.0934,0.984
16:43:36:434,0.9758,0.0584,0.0983,0.982
16:43:36:438,0.9758,0.0596,0.1037,0.983
16:43:36:443,0.9775,0.0601,0.1071,0.985
16:43:36:449,0.9788,0.0584,0.1100,0.987
16:43:36:454,0.9812,0.0559,0.1117,0.989
16:43:36:458,0.9846,0.0542,0.1108,0.992
16:43:36:474,0.9858,0.0527,0.1090,0.993
16:43:36:475,0.9854,0.0535,0.1049,0.992
16:43:36:475,0.9839,0.0547,0.0985,0.990
16:43:36:478,0.9810,0.0552,0.0932,0.987
16:43:36:487,0.9788,0.0549,0.0885,0.984
16:43:36:488,0.9775,0.0547,0.0863,0.983
16:43:36:495,0.9778,0.0537,0.0849,0.983
16:43:36:499,0.9775,0.0530,0.0851,0.983
16:43:36:503,0.9778,0.0520,0.0846,0.983
16:43:36:508,0.9805,0.0508,0.0831,0.985
16:43:36:514,0.9846,0.0493,0.0817,0.989
16:43:36:519,0.9856,0.0493,0.0795,0.990
16:43:36:523,0.9844,0.0500,0.0761,0.989
16:43:36:529,0.9846,0.0505,0.0746,0.989
16:43:36:534,0.9861,0.0508,0.0753,0.990
16:43:36:538,0.9856,0.0510,0.0783,0.990
16:43:36:544,0.9841,0.0515,0.0809,0.989
16:43:36:549,0.9812,0.0532,0.0839,0.986
16:43:36:554,0.9819,0.0527,0.0853,0.987
16:43:36:559,0.9824,0.0532,0.0858,0.988
16:43:36:574,0.9829,0.0547,0.0895,0.988
16:43:36:576,0.9814,0.0566,0.0932,0.987
16:43:36:577,0.9817,0.0576,0.0973,0.988
16:43:36:579,0.9834,0.0571,0.0993,0.990
16:43:36:594,0.9827,0.0554,0.0980,0.989
16:43:36:597,0.9817,0.0542,0.0944,0.988
16:43:36:597,0.9819,0.0525,0.0897,0.987
16:43:36:599,0.9841,0.0498,0.0875,0.989
16:43:36:603,0.9863,0.0464,0.0866,0.991
16:43:36:609,0.9876,0.0439,0.0846,0.992
16:43:36:616,0.9861,0.0439,0.0814,0.990
16:43:36:619,0.9844,0.0447,0.0800,0.989
16:43:36:624,0.9824,0.0461,0.0780,0.987
16:43:36:628,0.9800,0.0464,0.0770,0.984
16:43:36:634,0.9800,0.0464,0.0787,0.984
16:43:36:639,0.9797,0.0474,0.0814,0.984
16:43:36:644,0.9800,0.0481,0.0839,0.985
16:43:36:649,0.9817,0.0471,0.0863,0.987
16:43:36:656,0.9832,0.0469,0.0888,0.988
16:43:36:659,0.9854,0.0481,0.0892,0.991
16:43:36:671,0.9876,0.0496,0.0890,0.993
16:43:36:672,0.9888,0.0496,0.0866,0.994
16:43:36:674,0.9876,0.0486,0.0849,0.992
16:43:36:679,0.9836,0.0496,0.0844,0.988
16:43:36:684,0.9790,0.0510,0.0824,0.984
16:43:36:689,0.9768,0.0525,0.0809,0.982
16:43:36:694,0.9768,0.0518,0.0795,0.981
16:43:36:699,0.9746,0.0515,0.0778,0.979
16:43:36:704,0.9741,0.0505,0.0761,0.978
16:43:36:709,0.9756,0.0496,0.0761,0.980
16:43:36:715,0.9766,0.0488,0.0795,0.981
16:43:36:719,0.9761,0.0488,0.0824,0.981
16:43:36:724,0.9751,0.0496,0.0829,0.980
16:43:36:729,0.9736,0.0500,0.0839,0.979
16:43:36:735,0.9746,0.0483,0.0836,0.979
16:43:36:740,0.9746,0.0483,0.0853,0.980
16:43:36:745,0.9726,0.0500,0.0922,0.978
16:43:36:749,0.9714,0.0505,0.0924,0.977
16:43:36:755,0.9763,0.0491,0.0834,0.981
16:43:36:760,0.9802,0.0503,0.0795,0.985
16:43:36:775,0.9783,0.0498,0.0770,0.983
16:43:36:777,0.9763,0.0503,0.0756,0.981
16:43:36:778,0.9766,0.0508,0.0751,0.981
