time,gFx,gFy,gFz,TgF
16:44:06:005,1.0066,0.0161,0.0428,1.008
16:44:06:005,0.9990,0.0249,0.0797,1.003
16:44:06:010,0.9905,0.0344,0.1032,0.996
16:44:06:016,0.9841,0.0410,0.1152,0.992
16:44:06:018,0.9800,0.0449,0.1200,0.988
16:44:06:023,0.9758,0.0456,0.1193,0.984
16:44:06:028,0.9722,0.0459,0.1161,0.980
16:44:06:036,0.9695,0.0466,0.1088,0.977
16:44:06:038,0.9656,0.0478,0.0983,0.972
16:44:06:044,0.9624,0.0469,0.0890,0.968
16:44:06:048,0.9631,0.0461,0.0851,0.968
16:44:06:054,0.9670,0.0461,0.0822,0.972
16:44:06:059,0.9712,0.0422,0.0800,0.975
16:44:06:064,0.9731,0.0373,0.0780,0.977
16:44:06:068,0.9758,0.0339,0.0773,0.979
16:44:06:074,0.9792,0.0320,0.0795,0.983
16:44:06:078,0.9812,0.0327,0.0849,0.985
16:44:06:083,0.9836,0.0346,0.0902,0.988
16:44:06:089,0.9851,0.0371,0.0941,0.990
16:44:06:095,0.9844,0.0393,0.0980,0.990
16:44:06:099,0.9851,0.0395,0.0998,0.991
16:44:06:105,0.9880,0.0386,0.0983,0.994
16:44:06:118,0.9907,0.0366,0.0936,0.996
16:44:06:119,0.9900,0.0356,0.0888,0.995
16:44:06:119,0.9880,0.0349,0.0834,0.992
16:44:06:124,0.9861,0.0332,0.0795,0.990
16:44:06:135,0.9851,0.0320,0.0787,0.989
16:44:06:136,0.9834,0.0307,0.0827,0.987
16:44:06:139,0.9810,0.0307,0.0883,0.985
16:44:06:145,0.9790,0.0310,0.0900,0.984
16:44:06:149,0.9792,0.0322,0.0910,0.984
16:44:06:154,0.9822,0.0344,0.0912,0.987
16:44:06:160,0.9856,0.0351,0.0897,0.990
16:44:06:164,0.9876,0.0324,0.0897,0.992
16:44:06:169,0.9846,0.0322,0.0895,0.989
16:44:06:175,0.9766,0.0376,0.0914,0.982
16:44:06:179,0.9726,0.0444,0.0963,0.978
16:44:06:184,0.9751,0.0459,0.1007,0.981
16:44:06:195,0.9783,0.0420,0.1022,0.984
16:44:06:199,0.9822,0.0368,0.1015,0.988
16:44:06:199,0.9861,0.0322,0.0971,0.991
16:44:06:204,0.9871,0.0293,0.0902,0.992
16:44:06:218,0.9854,0.0293,0.0844,0.989
16:44:06:219,0.9841,0.0310,0.0829,0.988
16:44:06:220,0.9844,0.0317,0.0853,0.989
16:44:06:224,0.9832,0.0329,0.0895,0.988
16:44:06:229,0.9827,0.0344,0.0949,0.988
16:44:06:235,0.9829,0.0371,0.0993,0.989
16:44:06:239,0.9817,0.0405,0.1007,0.988
16:44:06:244,0.9795,0.0439,0.1000,0.986
16:44:06:249,0.9766,0.0466,0.0973,0.982
16:44:06:255,0.9751,0.0478,0.0956,0.981
16:44:06:259,0.9790,0.0461,0.0941,0.985
16:44:06:264,0.9827,0.0427,0.0936,0.988
16:44:06:269,0.9844,0.0405,0.0932,0.990
16:44:06:276,0.9836,0.0412,0.0936,0.989
16:44:06:280,0.9819,0.0442,0.0939,0.987
16:44:06:285,0.9775,0.0476,0.0927,0.983
16:44:06:289,0.9714,0.0500,0.0907,0.977
16:44:06:296,0.9680,0.0503,0.0890,0.973
16:44:06:300,0.9668,0.0483,0.0849,0.972
16:44:06:305,0.9660,0.0452,0.0768,0.970
16:44:06:319,0.9660,0.0420,0.0680,0.969
