time,gFx,gFy,gFz,TgF
16:46:25:911,1.0054,-0.0199,-0.0814,1.009
16:46:25:912,0.9964,-0.0133,-0.0713,0.999
16:46:25:913,0.9898,-0.0049,-0.0479,0.991
16:46:25:915,0.9917,0.0051,-0.0222,0.992
16:46:25:923,0.9976,0.0114,-0.0031,0.998
16:46:25:924,1.0005,0.0129,0.0091,1.001
16:46:25:931,0.9964,0.0090,0.0105,0.996
16:46:25:935,0.9917,0.0043,0.0022,0.992
16:46:25:940,0.9910,-0.0003,-0.0097,0.991
16:46:25:944,0.9924,-0.0027,-0.0181,0.993
16:46:25:949,0.9964,-0.0032,-0.0210,0.997
16:46:25:954,0.9995,-0.0010,-0.0190,1.000
16:46:25:959,0.9993,0.0004,-0.0132,0.999
16:46:25:966,0.9964,0.0012,-0.0061,0.996
16:46:25:969,0.9907,0.0002,-0.0007,0.991
16:46:25:974,0.9858,0.0004,0.0037,0.986
16:46:25:980,0.9832,0.0019,0.0057,0.983
16:46:25:984,0.9800,0.0009,0.0064,0.980
16:46:25:989,0.9761,-0.0023,0.0079,0.976
16:46:25:994,0.9726,-0.0067,0.0118,0.973
16:46:26:000,0.9704,-0.0098,0.0152,0.971
16:46:26:004,0.9668,-0.0106,0.0191,0.967
16:46:26:009,0.9626,-0.0103,0.0218,0.963
16:46:26:016,0.9604,-0.0106,0.0242,0.961
16:46:26:020,0.9555,-0.0096,0.0252,0.956
16:46:26:024,0.9499,-0.0079,0.0230,0.950
16:46:26:030,0.9494,-0.0093,0.0164,0.950
16:46:26:034,0.9541,-0.0120,0.0076,0.954
16:46:26:040,0.9565,-0.0135,0.0003,0.957
16:46:26:044,0.9563,-0.0128,-0.0034,0.956
16:46:26:049,0.9592,-0.0123,-0.0041,0.959
16:46:26:055,0.9638,-0.0098,-0.0044,0.964
16:46:26:060,0.9709,-0.0084,-0.0058,0.971
16:46:26:071,0.9783,-0.0071,-0.0085,0.978
16:46:26:072,0.9846,-0.0042,-0.0122,0.985
16:46:26:074,0.9902,-0.0035,-0.0134,0.990
16:46:26:080,0.9954,-0.0049,-0.0144,0.995
16:46:26:086,1.0027,-0.0093,-0.0154,1.003
16:46:26:090,1.0091,-0.0152,-0.0117,1.009
