time,gFx,gFy,gFz,TgF
17:31:46:511,1.0174,0.0481,-0.0022,1.019
17:31:46:511,1.0037,0.0569,-0.0031,1.005
17:31:46:512,0.9924,0.0625,-0.0068,0.994
17:31:46:517,0.9851,0.0610,-0.0049,0.987
17:31:46:525,0.9778,0.0576,0.0003,0.979
17:31:46:532,0.9670,0.0591,0.0025,0.969
17:31:46:534,0.9587,0.0596,0.0057,0.961
17:31:46:536,0.9592,0.0552,0.0135,0.961
17:31:46:542,0.9656,0.0488,0.0252,0.967
17:31:46:548,0.9709,0.0464,0.0311,0.973
17:31:46:552,0.9741,0.0452,0.0242,0.975
17:31:46:557,0.9763,0.0415,0.0108,0.977
17:31:46:562,0.9736,0.0381,-0.0002,0.974
17:31:46:567,0.9680,0.0349,-0.0107,0.969
17:31:46:572,0.9648,0.0310,-0.0188,0.966
17:31:46:577,0.9663,0.0266,-0.0242,0.967
17:31:46:582,0.9678,0.0232,-0.0256,0.968
17:31:46:587,0.9665,0.0195,-0.0195,0.967
17:31:46:593,0.9604,0.0170,-0.0088,0.961
17:31:46:597,0.9519,0.0153,0.0071,0.952
17:31:46:602,0.9445,0.0122,0.0228,0.945
17:31:46:606,0.9418,0.0082,0.0333,0.942
17:31:46:612,0.9416,0.0036,0.0377,0.942
17:31:46:617,0.9416,0.0021,0.0406,0.942
17:31:46:623,0.9418,0.0034,0.0418,0.943
17:31:46:627,0.9416,0.0051,0.0426,0.943
17:31:46:632,0.9416,0.0060,0.0409,0.943
17:31:46:637,0.9462,0.0070,0.0399,0.947
17:31:46:642,0.9597,0.0078,0.0413,0.961
17:31:46:654,0.9761,0.0100,0.0470,0.977
17:31:46:655,0.9939,0.0107,0.0550,0.995
17:31:46:657,1.0140,0.0104,0.0651,1.016
17:31:46:663,1.0338,0.0095,0.0724,1.036
17:31:46:667,1.0487,0.0095,0.0778,1.052
17:31:46:673,1.0572,0.0102,0.0880,1.061
17:31:46:677,1.0653,0.0109,0.0968,1.070
17:31:46:683,1.0668,0.0107,0.0993,1.071
17:31:46:687,1.0638,0.0102,0.1029,1.069
17:31:46:693,1.0663,0.0092,0.1064,1.072
17:31:46:697,1.0682,0.0092,0.1098,1.074
17:31:46:702,1.0616,0.0107,0.1071,1.067
17:31:46:707,1.0499,0.0153,0.1007,1.055
17:31:46:714,1.0367,0.0195,0.0978,1.041
17:31:46:717,1.0228,0.0278,0.1042,1.028
17:31:46:722,1.0017,0.0344,0.0954,1.007
17:31:46:727,0.9773,0.0298,0.0753,0.981
17:31:46:733,0.9550,0.0239,0.0533,0.957
17:31:46:737,0.9392,0.0246,0.0406,0.940
17:31:46:742,0.9318,0.0290,0.0509,0.934
17:31:46:755,0.9291,0.0276,0.0719,0.932
17:31:46:756,0.9220,0.0254,0.0790,0.926
17:31:46:758,0.9086,0.0305,0.0707,0.912
17:31:46:763,0.8986,0.0366,0.0594,0.901
17:31:46:768,0.8893,0.0393,0.0553,0.892
17:31:46:774,0.8778,0.0432,0.0570,0.881
17:31:46:781,0.8688,0.0505,0.0567,0.872
17:31:46:787,0.8675,0.0562,0.0531,0.871
17:31:46:787,0.8719,0.0549,0.0514,0.875
17:31:46:800,0.8798,0.0481,0.0541,0.883
17:31:46:801,0.8876,0.0415,0.0570,0.890
17:31:46:804,0.8959,0.0395,0.0626,0.899
17:31:46:812,0.9047,0.0437,0.0739,0.909
17:31:46:815,0.9154,0.0478,0.0849,0.921
17:31:46:819,0.9230,0.0493,0.0951,0.929
17:31:46:823,0.9262,0.0544,0.1061,0.934
17:31:46:829,0.9245,0.0662,0.1137,0.934
17:31:46:833,0.9230,0.0769,0.1200,0.934
17:31:46:837,0.9225,0.0830,0.1237,0.934
17:31:46:843,0.9198,0.0877,0.1230,0.932
17:31:46:847,0.9150,0.0909,0.1232,0.928
17:31:46:853,0.9159,0.0926,0.1296,0.930
17:31:46:857,0.9211,0.0933,0.1440,0.937
17:31:46:865,0.9264,0.0955,0.1658,0.946
17:31:46:867,0.9348,0.0987,0.1922,0.959
17:31:46:874,0.9450,0.1019,0.2171,0.975
17:31:46:879,0.9575,0.1016,0.2379,0.992
17:31:46:884,0.9712,0.0984,0.2582,1.010
17:31:46:888,0.9841,0.0921,0.2772,1.027
17:31:46:894,0.9959,0.0862,0.2904,1.041
17:31:46:899,1.0039,0.0828,0.2970,1.050
17:31:46:903,1.0093,0.0779,0.2978,1.055
17:31:46:908,1.0164,0.0733,0.2980,1.062
17:31:46:914,1.0218,0.0674,0.2963,1.066
17:31:46:918,1.0272,0.0625,0.2870,1.068
17:31:46:924,1.0294,0.0618,0.2699,1.066
17:31:46:929,1.0298,0.0618,0.2462,1.061
17:31:46:935,1.0303,0.0603,0.2205,1.055
17:31:46:939,1.0284,0.0613,0.1978,1.049
17:31:46:944,1.0291,0.0642,0.1858,1.048
17:31:46:948,1.0347,0.0650,0.1814,1.053
17:31:46:954,1.0428,0.0684,0.1804,1.060
17:31:46:959,1.0426,0.0757,0.1836,1.061
17:31:46:972,1.0372,0.0889,0.1941,1.059
17:31:46:973,1.0426,0.0977,0.1970,1.066
17:31:46:974,1.0518,0.0967,0.1887,1.073
17:31:46:979,1.0484,0.0958,0.1731,1.067
17:31:46:983,1.0423,0.0992,0.1577,1.059
17:31:46:989,1.0347,0.1043,0.1435,1.050
17:31:46:994,1.0286,0.1087,0.1367,1.043
17:31:46:999,1.0320,0.1097,0.1379,1.047
17:31:47:003,1.0257,0.1094,0.1413,1.041
17:31:47:009,1.0259,0.1124,0.1533,1.043
17:31:47:015,1.0037,0.1156,0.1572,1.022
17:31:47:018,0.9959,0.1143,0.1631,1.016
17:31:47:023,0.9822,0.1063,0.1623,1.001
17:31:47:036,0.9888,0.0977,0.1658,1.007
17:31:47:037,0.9748,0.0911,0.1648,0.993
17:31:47:038,0.9321,0.0884,0.1589,0.950
17:31:47:043,0.9047,0.0835,0.1577,0.922
17:31:47:049,0.9110,0.0826,0.1672,0.930
17:31:47:054,0.9223,0.0777,0.1763,0.942
17:31:47:058,0.9238,0.0694,0.1721,0.942
17:31:47:064,0.8966,0.0662,0.1521,0.912
17:31:47:068,0.8878,0.0696,0.1398,0.901
17:31:47:075,0.8961,0.0711,0.1391,0.910
17:31:47:079,0.9147,0.0669,0.1408,0.928
17:31:47:084,0.9343,0.0654,0.1489,0.948
17:31:47:089,0.9612,0.0669,0.1724,0.979
17:31:47:095,0.9739,0.0691,0.1941,0.995
17:31:47:099,0.9707,0.0703,0.2066,0.995
17:31:47:103,0.9814,0.0784,0.2276,1.011
17:31:47:109,0.9871,0.0901,0.2437,1.021
17:31:47:114,0.9609,0.0953,0.2403,0.995
17:31:47:121,0.9582,0.0984,0.2398,0.993
17:31:47:124,0.9607,0.1055,0.2410,0.996
17:31:47:129,0.9299,0.1107,0.2310,0.965
17:31:47:136,0.9272,0.1187,0.2269,0.962
17:31:47:139,0.9277,0.1261,0.2249,0.963
17:31:47:144,0.9194,0.1346,0.2239,0.956
17:31:47:149,0.9247,0.1427,0.2379,0.965
17:31:47:154,0.9335,0.1483,0.2572,0.980
17:31:47:159,0.9421,0.1571,0.2731,0.993
17:31:47:167,0.9379,0.1649,0.2863,0.994
17:31:47:169,0.9238,0.1691,0.2960,0.985
17:31:47:175,0.9233,0.1715,0.2978,0.985
17:31:47:179,0.9230,0.1688,0.2934,0.983
17:31:47:184,0.9206,0.1637,0.2897,0.979
17:31:47:189,0.9194,0.1618,0.2953,0.979
17:31:47:196,0.9191,0.1615,0.3046,0.982
17:31:47:200,0.9206,0.1588,0.3100,0.984
17:31:47:204,0.9242,0.1525,0.3100,0.987
17:31:47:209,0.9238,0.1439,0.3061,0.984
17:31:47:214,0.9255,0.1356,0.3058,0.984
17:31:47:219,0.9345,0.1288,0.3085,0.993
17:31:47:224,0.9509,0.1195,0.3156,1.009
17:31:47:231,0.9670,0.1109,0.3215,1.025
17:31:47:235,0.9819,0.1075,0.3251,1.040
17:31:47:240,0.9951,0.1050,0.3276,1.053
17:31:47:247,1.0127,0.1002,0.3286,1.069
17:31:47:250,1.0340,0.0965,0.3283,1.089
17:31:47:255,1.0438,0.0962,0.3290,1.099
