time,gFx,gFy,gFz,TgF
16:11:53:369,0.9829,-0.0103,-0.0418,0.984
16:11:53:370,0.9822,-0.0093,-0.0435,0.983
16:11:53:371,0.9810,-0.0101,-0.0486,0.982
16:11:53:382,0.9717,-0.0103,-0.0577,0.973
16:11:53:383,0.9673,-0.0135,-0.0672,0.970
16:11:53:388,0.9700,-0.0155,-0.0718,0.973
16:11:53:393,0.9744,-0.0120,-0.0679,0.977
16:11:53:396,0.9722,-0.0018,-0.0655,0.974
16:11:53:400,0.9761,0.0031,-0.0647,0.978
16:11:53:406,0.9722,-0.0123,-0.0310,0.973
16:11:53:411,0.9663,-0.0196,-0.0112,0.967
16:11:53:416,0.9704,-0.0130,-0.0185,0.971
16:11:53:421,0.9709,-0.0059,-0.0254,0.971
16:11:53:426,0.9690,-0.0067,-0.0256,0.969
16:11:53:433,0.9687,-0.0108,-0.0239,0.969
16:11:53:436,0.9726,-0.0155,-0.0273,0.973
16:11:53:442,0.9773,-0.0211,-0.0376,0.978
16:11:53:446,0.9802,-0.0265,-0.0469,0.982
16:11:53:451,0.9836,-0.0318,-0.0506,0.985
16:11:53:456,0.9890,-0.0345,-0.0523,0.991
16:11:53:465,0.9924,-0.0343,-0.0555,0.995
16:11:53:467,0.9907,-0.0311,-0.0564,0.993
16:11:53:471,0.9907,-0.0291,-0.0511,0.992
16:11:53:476,0.9934,-0.0306,-0.0467,0.995
16:11:53:481,0.9959,-0.0333,-0.0459,0.997
16:11:53:487,0.9956,-0.0333,-0.0452,0.997
16:11:53:492,0.9942,-0.0313,-0.0440,0.996
16:11:53:496,0.9888,-0.0277,-0.0427,0.990
16:11:53:501,0.9851,-0.0247,-0.0427,0.986
16:11:53:508,0.9844,-0.0238,-0.0423,0.986
16:11:53:512,0.9883,-0.0252,-0.0398,0.989
16:11:53:517,0.9922,-0.0269,-0.0391,0.993
16:11:53:521,0.9902,-0.0284,-0.0405,0.991
16:11:53:527,0.9861,-0.0301,-0.0447,0.988
16:11:53:531,0.9863,-0.0287,-0.0459,0.988
16:11:53:536,0.9912,-0.0277,-0.0435,0.993
16:11:53:543,0.9961,-0.0284,-0.0401,0.997
16:11:53:547,0.9981,-0.0301,-0.0352,0.999
16:11:53:551,1.0003,-0.0311,-0.0332,1.001
16:11:53:556,1.0034,-0.0318,-0.0322,1.004
16:11:53:569,1.0059,-0.0321,-0.0305,1.007
16:11:53:570,1.0042,-0.0318,-0.0310,1.005
