time,gFx,gFy,gFz,TgF
17:35:36:712,0.9568,0.0283,0.0585,0.959
17:35:36:712,0.9741,0.0305,0.0822,0.978
17:35:36:716,0.9851,0.0302,0.1066,0.991
17:35:36:721,0.9856,0.0300,0.1230,0.994
17:35:36:726,0.9832,0.0322,0.1293,0.992
17:35:36:730,0.9788,0.0346,0.1252,0.987
17:35:36:743,0.9734,0.0361,0.1196,0.981
17:35:36:744,0.9687,0.0351,0.1208,0.977
17:35:36:747,0.9653,0.0327,0.1269,0.974
17:35:36:759,0.9612,0.0312,0.1328,0.971
17:35:36:760,0.9582,0.0298,0.1394,0.969
17:35:36:761,0.9587,0.0285,0.1491,0.971
17:35:36:766,0.9597,0.0266,0.1589,0.973
17:35:36:771,0.9599,0.0219,0.1631,0.974
17:35:36:775,0.9641,0.0178,0.1618,0.978
17:35:36:782,0.9724,0.0158,0.1548,0.985
17:35:36:785,0.9785,0.0166,0.1464,0.990
17:35:36:791,0.9834,0.0183,0.1408,0.994
17:35:36:795,0.9902,0.0188,0.1391,1.000
17:35:36:802,0.9961,0.0207,0.1374,1.006
17:35:36:806,0.9986,0.0207,0.1408,1.009
17:35:36:811,0.9959,0.0207,0.1462,1.007
17:35:36:824,0.9893,0.0241,0.1521,1.001
17:35:36:825,0.9846,0.0312,0.1616,0.998
17:35:36:825,0.9871,0.0359,0.1699,1.002
17:35:36:831,0.9905,0.0376,0.1772,1.007
17:35:36:836,0.9905,0.0403,0.1865,1.009
17:35:36:841,0.9915,0.0432,0.1961,1.012
17:35:36:846,0.9946,0.0454,0.2058,1.017
17:35:36:852,0.9976,0.0488,0.2183,1.022
17:35:36:856,1.0015,0.0500,0.2291,1.029
17:35:36:861,1.0078,0.0508,0.2386,1.037
17:35:36:866,1.0118,0.0513,0.2489,1.043
17:35:36:871,1.0157,0.0508,0.2577,1.049
17:35:36:877,1.0223,0.0498,0.2650,1.057
17:35:36:884,1.0235,0.0508,0.2714,1.060
17:35:36:886,1.0220,0.0513,0.2743,1.059
17:35:36:891,1.0247,0.0488,0.2736,1.062
17:35:36:896,1.0284,0.0474,0.2687,1.064
17:35:36:902,1.0303,0.0481,0.2630,1.064
17:35:36:906,1.0301,0.0486,0.2589,1.063
17:35:36:911,1.0250,0.0474,0.2513,1.056
17:35:36:927,1.0179,0.0461,0.2418,1.047
17:35:36:928,1.0115,0.0444,0.2330,1.039
17:35:36:929,1.0056,0.0430,0.2239,1.031
17:35:36:931,1.0022,0.0422,0.2151,1.026
17:35:36:937,1.0027,0.0410,0.2063,1.025
17:35:36:945,1.0059,0.0393,0.1968,1.026
17:35:36:946,1.0071,0.0408,0.1885,1.025
17:35:36:956,1.0066,0.0474,0.1831,1.024
17:35:36:957,1.0122,0.0496,0.1807,1.029
17:35:36:962,1.0230,0.0461,0.1819,1.040
17:35:36:967,1.0272,0.0412,0.1858,1.045
17:35:36:971,1.0215,0.0373,0.1929,1.040
17:35:36:976,1.0091,0.0356,0.2019,1.030
17:35:36:982,0.9993,0.0342,0.2127,1.022
17:35:36:989,0.9934,0.0320,0.2198,1.018
17:35:36:993,0.9851,0.0298,0.2230,1.010
17:35:36:997,0.9751,0.0273,0.2225,1.001
17:35:37:009,0.9621,0.0263,0.2183,0.987
17:35:37:015,0.9497,0.0256,0.2166,0.974
17:35:37:016,0.9392,0.0283,0.2124,0.963
17:35:37:020,0.9348,0.0332,0.2061,0.958
17:35:37:022,0.9392,0.0307,0.1973,0.960
17:35:37:028,0.9450,0.0251,0.1870,0.964
17:35:37:033,0.9472,0.0227,0.1753,0.964
17:35:37:037,0.9484,0.0246,0.1658,0.963
17:35:37:042,0.9494,0.0295,0.1550,0.962
17:35:37:046,0.9497,0.0376,0.1460,0.962
17:35:37:053,0.9511,0.0452,0.1408,0.963
17:35:37:057,0.9558,0.0488,0.1411,0.967
17:35:37:062,0.9560,0.0474,0.1442,0.968
17:35:37:066,0.9543,0.0447,0.1548,0.968
17:35:37:072,0.9524,0.0425,0.1687,0.968
17:35:37:077,0.9482,0.0422,0.1826,0.967
17:35:37:083,0.9472,0.0405,0.1951,0.968
17:35:37:087,0.9487,0.0366,0.2034,0.971
17:35:37:092,0.9484,0.0329,0.2115,0.972
17:35:37:097,0.9458,0.0307,0.2198,0.971
17:35:37:103,0.9416,0.0339,0.2278,0.969
17:35:37:107,0.9365,0.0405,0.2337,0.966
17:35:37:112,0.9377,0.0476,0.2335,0.967
17:35:37:126,0.9487,0.0496,0.2300,0.977
17:35:37:127,0.9585,0.0503,0.2198,0.985
17:35:37:128,0.9685,0.0505,0.2039,0.991
17:35:37:132,0.9800,0.0513,0.1902,1.000
17:35:37:141,0.9880,0.0544,0.1846,1.007
17:35:37:142,0.9937,0.0576,0.1900,1.013
17:35:37:150,1.0005,0.0596,0.2000,1.022
17:35:37:152,1.0103,0.0606,0.2151,1.035
17:35:37:157,1.0196,0.0584,0.2335,1.048
17:35:37:162,1.0230,0.0549,0.2501,1.055
17:35:37:168,1.0218,0.0537,0.2684,1.058
17:35:37:172,1.0176,0.0554,0.2828,1.058
17:35:37:178,1.0144,0.0579,0.2912,1.057
17:35:37:183,1.0103,0.0593,0.2931,1.054
17:35:37:187,1.0032,0.0608,0.2921,1.047
17:35:37:193,0.9871,0.0637,0.3002,1.034
17:35:37:198,0.9616,0.0689,0.3161,1.015
17:35:37:203,0.9497,0.0745,0.3215,1.005
17:35:37:208,0.9602,0.0762,0.3117,1.012
17:35:37:213,0.9780,0.0755,0.2968,1.025
17:35:37:227,0.9902,0.0777,0.2833,1.033
17:35:37:228,0.9973,0.0833,0.2806,1.039
17:35:37:229,1.0083,0.0877,0.2745,1.049
17:35:37:233,1.0171,0.0953,0.2652,1.055
17:35:37:237,1.0196,0.1026,0.2596,1.057
17:35:37:243,1.0142,0.1065,0.2586,1.052
17:35:37:248,1.0086,0.1028,0.2513,1.044
17:35:37:252,1.0127,0.0948,0.2501,1.047
17:35:37:259,1.0316,0.0826,0.2366,1.062
17:35:37:263,1.0494,0.0652,0.2112,1.072
17:35:37:268,1.0626,0.0471,0.1814,1.079
17:35:37:272,1.0792,0.0324,0.1504,1.090
17:35:37:277,1.1039,0.0256,0.1218,1.111
17:35:37:283,1.1313,0.0322,0.1037,1.136
17:35:37:288,1.1447,0.0464,0.1010,1.150
