time,gFx,gFy,gFz,TgF
17:36:23:101,1.2841,0.2253,0.0516,1.305
17:36:23:105,1.3344,0.2290,0.0611,1.355
17:36:23:110,1.3718,0.2256,0.0951,1.393
17:36:23:115,1.3945,0.2148,0.1472,1.419
17:36:23:121,1.3985,0.2148,0.2127,1.431
17:36:23:125,1.3743,0.2146,0.2628,1.416
17:36:23:130,1.3354,0.1808,0.2621,1.373
17:36:23:136,1.2828,0.1527,0.2085,1.309
17:36:23:150,1.2261,0.1341,0.1171,1.239
17:36:23:152,1.1665,0.1226,0.0272,1.173
17:36:23:152,1.1115,0.1278,-0.0408,1.120
17:36:23:155,1.0604,0.1500,-0.0867,1.074
17:36:23:161,1.0191,0.1750,-0.1171,1.041
17:36:23:165,0.9934,0.1899,-0.1329,1.020
17:36:23:170,0.9785,0.1879,-0.1305,1.005
17:36:23:176,0.9678,0.1710,-0.1183,0.990
17:36:23:181,0.9575,0.1503,-0.1036,0.975
17:36:23:185,0.9436,0.1361,-0.0809,0.957
17:36:23:190,0.9282,0.1263,-0.0606,0.939
17:36:23:196,0.9189,0.1182,-0.0540,0.928
17:36:23:204,0.9179,0.1129,-0.0550,0.926
17:36:23:207,0.9198,0.1075,-0.0601,0.928
17:36:23:211,0.9159,0.1009,-0.0709,0.924
17:36:23:216,0.9135,0.0938,-0.0929,0.923
17:36:23:222,0.9245,0.0833,-0.1200,0.936
17:36:23:227,0.9418,0.0730,-0.1393,0.955
17:36:23:230,0.9516,0.0650,-0.1606,0.967
17:36:23:236,0.9575,0.0518,-0.1703,0.974
17:36:23:252,0.9592,0.0434,-0.1640,0.974
17:36:23:254,0.9560,0.0452,-0.1659,0.971
17:36:23:254,0.9533,0.0532,-0.1882,0.973
17:36:23:255,0.9585,0.0598,-0.2126,0.984
17:36:23:261,0.9675,0.0544,-0.2168,0.993
17:36:23:269,0.9712,0.0496,-0.1997,0.993
17:36:23:270,0.9753,0.0452,-0.1769,0.992
17:36:23:275,0.9810,0.0395,-0.1513,0.993
17:36:23:283,0.9836,0.0378,-0.1290,0.993
17:36:23:286,0.9790,0.0388,-0.1056,0.985
