time,gFx,gFy,gFz,TgF
16:47:50:977,0.9890,0.0691,-0.0207,0.992
16:47:50:978,0.9871,0.0742,-0.0110,0.990
16:47:50:983,0.9883,0.0774,-0.0058,0.991
16:47:51:002,0.9924,0.0777,-0.0024,0.995
16:47:51:002,0.9971,0.0777,-0.0014,1.000
16:47:51:002,0.9973,0.0801,-0.0005,1.001
16:47:51:003,0.9929,0.0840,0.0000,0.996
16:47:51:009,0.9851,0.0870,0.0003,0.989
16:47:51:013,0.9788,0.0894,0.0035,0.983
16:47:51:019,0.9766,0.0936,0.0098,0.981
16:47:51:023,0.9775,0.0965,0.0184,0.982
16:47:51:029,0.9780,0.0967,0.0267,0.983
16:47:51:033,0.9763,0.0960,0.0281,0.981
16:47:51:038,0.9744,0.0958,0.0215,0.979
16:47:51:043,0.9722,0.0958,0.0110,0.977
16:47:51:049,0.9695,0.0943,0.0015,0.974
16:47:51:060,0.9709,0.0936,-0.0005,0.975
16:47:51:060,0.9724,0.0931,-0.0007,0.977
16:47:51:064,0.9761,0.0938,-0.0009,0.981
16:47:51:069,0.9819,0.0948,-0.0009,0.986
16:47:51:074,0.9846,0.0938,0.0003,0.989
16:47:51:079,0.9846,0.0921,0.0013,0.989
16:47:51:083,0.9893,0.0923,0.0005,0.994
16:47:51:090,0.9880,0.0931,-0.0031,0.992
16:47:51:093,0.9915,0.0950,-0.0085,0.996
16:47:51:099,0.9900,0.0975,-0.0166,0.995
16:47:51:104,0.9795,0.0989,-0.0269,0.985
16:47:51:109,0.9768,0.1046,-0.0349,0.983
16:47:51:113,0.9741,0.1060,-0.0445,0.981
16:47:51:120,0.9797,0.1068,-0.0518,0.987
16:47:51:123,0.9819,0.1085,-0.0591,0.990
16:47:51:129,0.9739,0.1090,-0.0667,0.982
16:47:51:134,0.9634,0.1075,-0.0721,0.972
16:47:51:143,0.9619,0.1119,-0.0682,0.971
16:47:51:144,0.9604,0.1187,-0.0557,0.969
16:47:51:149,0.9392,0.1195,-0.0452,0.948
16:47:51:154,0.9401,0.1292,-0.0332,0.950
16:47:51:160,0.9436,0.1354,-0.0300,0.954
16:47:51:164,0.9482,0.1385,-0.0315,0.959
16:47:51:170,0.9587,0.1422,-0.0327,0.970
16:47:51:174,0.9602,0.1402,-0.0383,0.971
16:47:51:179,0.9475,0.1329,-0.0481,0.958
16:47:51:184,0.9533,0.1402,-0.0511,0.965
16:47:51:189,0.9656,0.1542,-0.0567,0.979
16:47:51:194,0.9663,0.1615,-0.0667,0.982
