time,gFx,gFy,gFz,TgF
16:49:11:605,0.8101,0.0674,-0.0667,0.816
16:49:11:610,0.8094,0.0664,-0.0405,0.813
16:49:11:614,0.7998,0.0632,-0.0207,0.803
16:49:11:619,0.7830,0.0623,-0.0088,0.785
16:49:11:625,0.7634,0.0593,-0.0029,0.766
16:49:11:630,0.7431,0.0503,-0.0068,0.745
16:49:11:637,0.7289,0.0447,-0.0141,0.730
16:49:11:639,0.7272,0.0410,-0.0339,0.729
16:49:11:644,0.7512,0.0456,-0.0569,0.755
16:49:11:650,0.7861,0.0513,-0.1009,0.794
16:49:11:655,0.8172,0.0403,-0.1650,0.835
16:49:11:668,0.8260,0.0361,-0.2268,0.857
16:49:11:669,0.8189,0.0302,-0.2649,0.861
16:49:11:670,0.8030,0.0295,-0.2718,0.848
16:49:11:674,0.7776,0.0276,-0.2571,0.819
16:49:11:684,0.7639,0.0205,-0.2227,0.796
16:49:11:685,0.7759,0.0117,-0.1889,0.799
16:49:11:691,0.8008,0.0102,-0.1642,0.818
16:49:11:695,0.8277,0.0229,-0.1422,0.840
16:49:11:700,0.8370,0.0518,-0.1163,0.847
16:49:11:704,0.8282,0.0750,-0.0924,0.837
16:49:11:710,0.8101,0.0909,-0.0711,0.818
16:49:11:715,0.7771,0.0955,-0.0721,0.786
16:49:11:721,0.7390,0.1024,-0.1078,0.754
16:49:11:724,0.7307,0.1126,-0.1696,0.758
16:49:11:731,0.7661,0.1202,-0.2449,0.813
16:49:11:735,0.8375,0.1319,-0.3136,0.904
16:49:11:740,0.8908,0.1456,-0.3605,0.972
16:49:11:744,0.9030,0.1542,-0.3784,0.991
16:49:11:751,0.8714,0.1588,-0.3764,0.962
16:49:11:756,0.8172,0.1605,-0.3564,0.906
16:49:11:766,0.7695,0.1542,-0.3150,0.846
16:49:11:768,0.7480,0.1346,-0.2776,0.809
16:49:11:770,0.7607,0.1114,-0.2381,0.805
16:49:11:776,0.7905,0.0909,-0.2117,0.823
16:49:11:780,0.8326,0.0750,-0.2092,0.862
16:49:11:785,0.8856,0.0760,-0.2273,0.917
16:49:11:791,0.9709,0.0786,-0.2776,1.013
16:49:11:795,1.0694,0.0642,-0.4546,1.164
16:49:11:801,1.0474,0.0933,-0.6338,1.228
16:49:11:805,0.9638,0.1512,-0.6262,1.159
16:49:11:812,0.9267,0.1454,-0.5561,1.090
16:49:11:815,0.9169,0.1126,-0.4891,1.045
16:49:11:820,0.8785,0.1099,-0.4268,0.983
16:49:11:825,0.8272,0.1207,-0.3781,0.917
16:49:11:831,0.7903,0.1231,-0.3410,0.869
16:49:11:835,0.7661,0.1222,-0.2994,0.832
16:49:11:841,0.7365,0.1290,-0.2454,0.787
16:49:11:846,0.7128,0.1383,-0.1926,0.751
16:49:11:851,0.7236,0.1329,-0.1581,0.752
16:49:11:856,0.7529,0.1185,-0.1525,0.777
16:49:11:866,0.7805,0.1121,-0.1694,0.807
16:49:11:867,0.8098,0.1028,-0.1703,0.834
16:49:11:871,0.8414,0.0850,-0.1584,0.860
16:49:11:877,0.8746,0.0579,-0.1547,0.890
16:49:11:881,0.9470,0.0173,-0.1855,0.965
16:49:11:885,1.0650,-0.0027,-0.2620,1.097
16:49:11:892,1.1159,-0.0032,-0.3747,1.177
16:49:11:895,1.0819,-0.0267,-0.4747,1.182
16:49:11:901,1.0093,-0.0411,-0.5199,1.136
16:49:11:906,0.9631,-0.0626,-0.5214,1.097
16:49:11:911,0.9570,-0.0485,-0.3950,1.036
16:49:11:916,0.9607,0.0063,-0.2442,0.991
16:49:11:920,0.9653,0.0647,-0.1723,0.983
16:49:11:926,0.9890,0.0659,-0.1611,1.004
16:49:11:931,0.9807,0.0698,-0.1909,1.002
16:49:11:935,0.9531,0.0757,-0.2471,0.988
16:49:11:941,0.9489,0.0547,-0.2992,0.996
16:49:11:950,0.9660,0.0337,-0.3407,1.025
16:49:11:951,0.9854,0.0381,-0.3652,1.052
16:49:11:955,0.9910,0.0508,-0.3644,1.057
16:49:11:962,0.9888,0.0302,-0.3605,1.053
16:49:11:968,0.9741,0.0153,-0.3764,1.044
16:49:11:972,0.9726,0.0312,-0.3938,1.050
16:49:11:975,0.9910,0.0593,-0.4204,1.078
16:49:11:981,1.0235,0.0620,-0.4576,1.123
16:49:11:985,1.0389,0.0437,-0.4986,1.153
16:49:11:993,1.0470,0.0459,-0.4991,1.161
16:49:11:996,1.0289,0.0769,-0.5006,1.147
16:49:12:003,0.9968,0.1143,-0.4962,1.119
16:49:12:006,0.9741,0.1451,-0.4866,1.099
16:49:12:012,0.9604,0.1635,-0.4737,1.083
16:49:12:017,0.9455,0.1588,-0.4634,1.065
16:49:12:021,0.9316,0.1508,-0.4536,1.047
16:49:12:026,0.9274,0.1517,-0.4368,1.036
16:49:12:032,0.9465,0.1581,-0.4040,1.041
16:49:12:037,0.9665,0.1454,-0.3776,1.048
16:49:12:046,0.9428,0.1275,-0.3434,1.011
16:49:12:047,0.8521,0.1635,-0.3324,0.929
16:49:12:052,0.7969,0.1527,-0.3256,0.874
16:49:12:056,0.8504,0.0569,-0.2688,0.894
16:49:12:062,0.9150,-0.0096,-0.2180,0.941
16:49:12:067,0.9184,-0.0186,-0.1985,0.940
16:49:12:072,0.8883,0.0073,-0.1958,0.910
16:49:12:077,0.8582,0.0349,-0.1745,0.877
16:49:12:083,0.8402,0.0447,-0.1425,0.853
16:49:12:086,0.8235,0.0505,-0.1095,0.832
16:49:12:092,0.8218,0.0503,-0.0750,0.827
16:49:12:096,0.8580,0.0322,-0.0513,0.860
16:49:12:102,0.9411,0.0114,-0.0254,0.942
16:49:12:107,1.1193,-0.0225,0.0303,1.120
16:49:12:113,1.2596,-0.0494,0.0025,1.261
16:49:12:117,1.3408,-0.0629,-0.0185,1.342
16:49:12:121,1.4940,-0.0751,0.0025,1.496
16:49:12:128,1.6754,-0.0824,0.0411,1.678
16:49:12:133,1.8629,-0.0881,0.0836,1.867
16:49:12:136,2.0672,-0.0905,0.1166,2.072
16:49:12:145,2.2877,-0.0929,0.1059,2.292
16:49:12:148,2.5219,-0.1071,0.0875,2.526
16:49:12:153,2.7121,-0.1252,0.1523,2.719
