time,gFx,gFy,gFz,TgF
16:48:33:811,1.0604,-0.0311,0.0778,1.064
16:48:33:814,1.0533,-0.0257,0.0721,1.056
16:48:33:819,1.0487,-0.0252,0.0599,1.051
16:48:33:824,1.0548,-0.0311,0.0462,1.056
16:48:33:830,1.0533,-0.0238,0.0350,1.054
16:48:33:834,1.0528,-0.0128,0.0399,1.054
16:48:33:839,1.0685,-0.0639,0.0746,1.073
16:48:33:844,1.1002,-0.0893,0.0670,1.106
16:48:33:850,1.1110,-0.0607,0.0609,1.114
16:48:33:862,1.0936,-0.0399,0.0758,1.097
16:48:33:863,1.0738,-0.0411,0.0875,1.078
16:48:33:864,1.0616,-0.0494,0.0963,1.067
16:48:33:871,1.0545,-0.0592,0.1002,1.061
16:48:33:874,1.0465,-0.0683,0.0949,1.053
16:48:33:879,1.0565,-0.0734,0.0890,1.063
16:48:33:884,1.0670,-0.0817,0.0880,1.074
16:48:33:890,1.0592,-0.0817,0.0795,1.065
16:48:33:894,1.0389,-0.0683,0.0690,1.043
16:48:33:899,1.0169,-0.0609,0.0523,1.020
16:48:33:905,0.9978,-0.0617,0.0365,1.000
16:48:33:910,0.9807,-0.0636,0.0281,0.983
16:48:33:914,0.9656,-0.0624,0.0279,0.968
16:48:33:919,0.9497,-0.0582,0.0406,0.952
16:48:33:925,0.9318,-0.0526,0.0572,0.935
16:48:33:930,0.8952,-0.0707,0.0675,0.900
16:48:33:934,0.8431,-0.1030,0.0541,0.851
16:48:33:940,0.9005,-0.0309,0.0785,0.904
16:48:33:944,0.9367,0.0129,0.0748,0.940
16:48:33:950,0.9106,0.0004,0.0325,0.911
16:48:33:962,0.8580,-0.0147,0.0027,0.858
16:48:33:963,0.8262,-0.0064,0.0103,0.826
16:48:33:965,0.8199,0.0119,0.0382,0.821
16:48:33:971,0.8206,0.0268,0.0609,0.823
16:48:33:977,0.8446,0.0329,0.0734,0.848
16:48:33:988,0.8758,0.0388,0.0812,0.880
16:48:33:989,0.8964,0.0471,0.0785,0.901
