time,gFx,gFy,gFz,TgF
16:40:47:943,0.9621,-0.0174,0.2511,0.995
16:40:47:944,0.9594,-0.0157,0.2589,0.994
16:40:47:950,0.9565,-0.0157,0.2604,0.991
16:40:47:953,0.9541,-0.0164,0.2584,0.989
16:40:47:964,0.9514,-0.0157,0.2567,0.986
16:40:47:964,0.9538,-0.0157,0.2569,0.988
16:40:47:967,0.9570,-0.0162,0.2533,0.990
16:40:47:972,0.9585,-0.0177,0.2496,0.991
16:40:47:977,0.9597,-0.0194,0.2484,0.991
16:40:47:982,0.9609,-0.0203,0.2467,0.992
16:40:47:988,0.9624,-0.0203,0.2440,0.993
16:40:47:993,0.9641,-0.0206,0.2418,0.994
16:40:47:997,0.9658,-0.0216,0.2406,0.996
16:40:48:003,0.9678,-0.0238,0.2381,0.997
16:40:48:007,0.9660,-0.0245,0.2332,0.994
16:40:48:013,0.9646,-0.0247,0.2305,0.992
16:40:48:017,0.9680,-0.0265,0.2247,0.994
16:40:48:028,0.9719,-0.0277,0.2171,0.996
16:40:48:029,0.9736,-0.0291,0.2107,0.997
16:40:48:033,0.9746,-0.0311,0.2085,0.997
16:40:48:037,0.9739,-0.0296,0.2066,0.996
16:40:48:043,0.9714,-0.0257,0.2058,0.993
16:40:48:048,0.9702,-0.0221,0.2078,0.992
16:40:48:054,0.9692,-0.0201,0.2120,0.992
16:40:48:057,0.9702,-0.0194,0.2161,0.994
16:40:48:063,0.9719,-0.0196,0.2186,0.996
16:40:48:067,0.9741,-0.0203,0.2200,0.999
16:40:48:073,0.9753,-0.0203,0.2215,1.000
16:40:48:078,0.9758,-0.0203,0.2220,1.001
16:40:48:083,0.9770,-0.0206,0.2208,1.002
16:40:48:087,0.9753,-0.0221,0.2208,1.000
16:40:48:093,0.9726,-0.0230,0.2227,0.998
16:40:48:097,0.9673,-0.0225,0.2274,0.994
16:40:48:113,0.9629,-0.0221,0.2305,0.990
16:40:48:114,0.9587,-0.0211,0.2352,0.987
16:40:48:114,0.9558,-0.0213,0.2391,0.985
16:40:48:118,0.9538,-0.0196,0.2413,0.984
16:40:48:124,0.9536,-0.0181,0.2452,0.985
16:40:48:128,0.9575,-0.0174,0.2437,0.988
16:40:48:133,0.9651,-0.0189,0.2437,0.996
16:40:48:139,0.9734,-0.0216,0.2459,1.004
16:40:48:143,0.9810,-0.0255,0.2408,1.010
16:40:48:148,0.9858,-0.0277,0.2296,1.013
16:40:48:155,0.9824,-0.0272,0.2186,1.007
16:40:48:158,0.9724,-0.0225,0.2054,0.994
16:40:48:163,0.9634,-0.0159,0.1961,0.983
16:40:48:168,0.9568,-0.0101,0.1931,0.976
16:40:48:173,0.9511,-0.0076,0.1944,0.971
16:40:48:178,0.9467,-0.0079,0.1941,0.966
16:40:48:183,0.9553,-0.0125,0.1953,0.975
16:40:48:189,0.9729,-0.0262,0.1863,0.991
16:40:48:193,0.9634,-0.0392,0.1922,0.983
16:40:48:198,0.9739,-0.0357,0.2154,0.998
16:40:48:213,0.9949,-0.0152,0.2330,1.022
16:40:48:214,0.9866,-0.0111,0.2413,1.016
16:40:48:214,0.9648,-0.0208,0.2415,0.995
16:40:48:218,0.9604,-0.0245,0.2398,0.990
16:40:48:224,0.9590,-0.0181,0.2344,0.987
