time,gFx,gFy,gFz,TgF
16:39:34:583,0.9636,-0.0179,0.2606,0.998
16:39:34:588,0.9612,-0.0184,0.2613,0.996
16:39:34:593,0.9594,-0.0169,0.2618,0.995
16:39:34:598,0.9568,-0.0135,0.2613,0.992
16:39:34:603,0.9531,-0.0108,0.2591,0.988
16:39:34:609,0.9504,-0.0111,0.2557,0.984
16:39:34:613,0.9497,-0.0106,0.2555,0.983
16:39:34:618,0.9521,-0.0096,0.2591,0.987
16:39:34:623,0.9546,-0.0086,0.2613,0.990
16:39:34:629,0.9541,-0.0030,0.2586,0.989
16:39:34:634,0.9565,-0.0042,0.2540,0.990
16:39:34:639,0.9604,-0.0125,0.2567,0.994
16:39:34:651,0.9619,-0.0128,0.2618,0.997
16:39:34:652,0.9619,-0.0089,0.2643,0.998
16:39:34:653,0.9607,-0.0057,0.2643,0.996
16:39:34:659,0.9612,-0.0040,0.2650,0.997
16:39:34:664,0.9614,-0.0042,0.2640,0.997
16:39:34:669,0.9609,-0.0054,0.2596,0.995
16:39:34:673,0.9607,-0.0064,0.2560,0.994
16:39:34:678,0.9592,-0.0071,0.2528,0.992
16:39:34:683,0.9580,-0.0076,0.2503,0.990
16:39:34:689,0.9570,-0.0089,0.2506,0.989
16:39:34:693,0.9568,-0.0118,0.2518,0.989
16:39:34:700,0.9577,-0.0140,0.2520,0.990
16:39:34:703,0.9582,-0.0152,0.2540,0.991
16:39:34:709,0.9575,-0.0157,0.2577,0.992
16:39:34:714,0.9555,-0.0155,0.2608,0.991
16:39:34:719,0.9541,-0.0155,0.2621,0.990
16:39:34:723,0.9550,-0.0150,0.2613,0.990
16:39:34:729,0.9546,-0.0135,0.2633,0.990
16:39:34:735,0.9531,-0.0111,0.2660,0.990
16:39:34:739,0.9509,-0.0086,0.2670,0.988
16:39:34:752,0.9482,-0.0049,0.2670,0.985
16:39:34:753,0.9470,-0.0027,0.2667,0.984
16:39:34:754,0.9467,-0.0013,0.2640,0.983
16:39:34:760,0.9460,-0.0005,0.2601,0.981
16:39:34:764,0.9472,-0.0013,0.2557,0.981
16:39:34:769,0.9499,-0.0047,0.2506,0.982
16:39:34:774,0.9548,-0.0089,0.2467,0.986
16:39:34:779,0.9592,-0.0135,0.2459,0.990
16:39:34:783,0.9619,-0.0169,0.2486,0.994
16:39:34:789,0.9641,-0.0199,0.2513,0.997
16:39:34:794,0.9658,-0.0216,0.2542,0.999
16:39:34:799,0.9668,-0.0199,0.2572,1.001
16:39:34:804,0.9673,-0.0177,0.2604,1.002
16:39:34:809,0.9670,-0.0157,0.2608,1.002
16:39:34:814,0.9663,-0.0147,0.2594,1.001
16:39:34:819,0.9658,-0.0137,0.2542,0.999
16:39:34:824,0.9643,-0.0118,0.2496,0.996
16:39:34:834,0.9619,-0.0103,0.2486,0.994
16:39:34:835,0.9604,-0.0103,0.2508,0.993
16:39:34:839,0.9582,-0.0096,0.2516,0.991
16:39:34:844,0.9560,-0.0084,0.2511,0.988
16:39:34:850,0.9541,-0.0079,0.2494,0.986
16:39:34:854,0.9536,-0.0076,0.2476,0.985
