time,gFx,gFy,gFz,TgF
16:41:17:510,0.9406,-0.0296,0.2926,0.986
16:41:17:511,0.9335,-0.0252,0.2956,0.980
16:41:17:512,0.9316,-0.0255,0.2960,0.978
16:41:17:517,0.9328,-0.0299,0.2943,0.979
16:41:17:522,0.9348,-0.0326,0.2965,0.981
16:41:17:526,0.9431,-0.0335,0.3026,0.991
16:41:17:535,0.9546,-0.0367,0.3056,1.003
16:41:17:537,0.9599,-0.0411,0.3053,1.008
16:41:17:542,0.9572,-0.0423,0.3009,1.004
16:41:17:547,0.9526,-0.0409,0.2958,0.998
16:41:17:552,0.9509,-0.0404,0.2951,0.996
16:41:17:557,0.9521,-0.0431,0.2965,0.998
16:41:17:563,0.9541,-0.0467,0.2997,1.001
16:41:17:567,0.9550,-0.0472,0.3017,1.003
16:41:17:572,0.9555,-0.0463,0.3012,1.003
16:41:17:577,0.9553,-0.0455,0.3009,1.003
16:41:17:582,0.9553,-0.0455,0.3014,1.003
16:41:17:587,0.9543,-0.0453,0.3019,1.002
16:41:17:592,0.9499,-0.0416,0.2987,0.997
16:41:17:597,0.9414,-0.0355,0.2982,0.988
16:41:17:603,0.9348,-0.0309,0.2978,0.982
16:41:17:607,0.9338,-0.0299,0.2946,0.980
16:41:17:613,0.9379,-0.0331,0.2890,0.982
16:41:17:617,0.9418,-0.0357,0.2826,0.984
16:41:17:623,0.9438,-0.0355,0.2799,0.985
16:41:17:630,0.9462,-0.0340,0.2792,0.987
16:41:17:632,0.9494,-0.0323,0.2772,0.990
16:41:17:638,0.9531,-0.0338,0.2767,0.993
16:41:17:643,0.9546,-0.0362,0.2797,0.995
16:41:17:655,0.9541,-0.0365,0.2846,0.996
16:41:17:656,0.9531,-0.0362,0.2882,0.996
16:41:17:657,0.9526,-0.0362,0.2904,0.997
16:41:17:663,0.9541,-0.0367,0.2929,0.999
16:41:17:667,0.9570,-0.0399,0.2951,1.002
16:41:17:673,0.9590,-0.0426,0.2968,1.005
16:41:17:677,0.9580,-0.0433,0.2982,1.004
16:41:17:683,0.9560,-0.0423,0.2995,1.003
16:41:17:687,0.9524,-0.0392,0.2995,0.999
16:41:17:693,0.9448,-0.0343,0.2982,0.991
16:41:17:697,0.9296,-0.0252,0.2995,0.977
16:41:17:703,0.9169,-0.0157,0.2973,0.964
16:41:17:707,0.9162,-0.0152,0.2877,0.960
16:41:17:713,0.9235,-0.0218,0.2770,0.964
16:41:17:717,0.9326,-0.0301,0.2679,0.971
16:41:17:723,0.9404,-0.0360,0.2623,0.977
16:41:17:727,0.9460,-0.0399,0.2608,0.982
16:41:17:733,0.9506,-0.0421,0.2621,0.987
16:41:17:738,0.9555,-0.0450,0.2645,0.992
16:41:17:743,0.9616,-0.0487,0.2692,1.000
16:41:17:757,0.9678,-0.0529,0.2787,1.008
16:41:17:759,0.9736,-0.0565,0.2882,1.017
16:41:17:759,0.9768,-0.0577,0.2958,1.022
16:41:17:764,0.9778,-0.0546,0.3012,1.025
16:41:17:767,0.9766,-0.0502,0.3041,1.024
16:41:17:773,0.9712,-0.0465,0.3058,1.019
16:41:17:778,0.9646,-0.0426,0.3051,1.013
16:41:17:783,0.9570,-0.0392,0.3031,1.005
16:41:17:788,0.9492,-0.0353,0.3004,0.996
16:41:17:793,0.9414,-0.0328,0.2982,0.988
16:41:17:798,0.9387,-0.0299,0.2960,0.985
16:41:17:803,0.9348,-0.0277,0.2929,0.980
16:41:17:808,0.9328,-0.0257,0.2880,0.977
16:41:17:813,0.9301,-0.0228,0.2824,0.972
16:41:17:818,0.9269,-0.0206,0.2782,0.968
16:41:17:824,0.9238,-0.0199,0.2792,0.965
16:41:17:828,0.9203,-0.0172,0.2824,0.963
16:41:17:833,0.9191,-0.0133,0.2775,0.960
16:41:17:839,0.9220,-0.0140,0.2704,0.961
16:41:17:844,0.9269,-0.0181,0.2696,0.966
16:41:17:856,0.9296,-0.0235,0.2728,0.969
16:41:17:857,0.9333,-0.0267,0.2770,0.974
16:41:17:858,0.9404,-0.0289,0.2799,0.982
16:41:17:864,0.9453,-0.0328,0.2863,0.988
16:41:17:868,0.9499,-0.0335,0.2894,0.994
16:41:17:873,0.9563,-0.0367,0.2899,1.000
16:41:17:878,0.9609,-0.0428,0.2931,1.006
16:41:17:885,0.9634,-0.0416,0.2899,1.007
16:41:17:888,0.9626,-0.0436,0.2860,1.005
16:41:17:893,0.9607,-0.0497,0.2899,1.005
16:41:17:900,0.9536,-0.0472,0.2929,0.999
16:41:17:903,0.9487,-0.0485,0.2912,0.994
16:41:17:908,0.9516,-0.0492,0.2987,0.999
16:41:17:914,0.9460,-0.0453,0.3066,0.995
16:41:17:919,0.9318,-0.0477,0.3100,0.983
16:41:17:924,0.9203,-0.0507,0.3163,0.974
16:41:17:929,0.9269,-0.0389,0.3144,0.980
16:41:17:936,0.9340,-0.0282,0.3102,0.985
16:41:17:939,0.9326,-0.0265,0.3070,0.982
16:41:17:944,0.9355,-0.0279,0.3014,0.983
16:41:17:957,0.9484,-0.0299,0.2951,0.994
16:41:17:958,0.9533,-0.0296,0.2860,0.996
16:41:17:959,0.9563,-0.0306,0.2743,0.995
16:41:17:964,0.9604,-0.0279,0.2687,0.998
16:41:17:971,0.9648,-0.0267,0.2655,1.001
16:41:17:974,0.9616,-0.0309,0.2687,0.999
16:41:17:979,0.9568,-0.0331,0.2794,0.997
16:41:17:984,0.9546,-0.0343,0.2909,0.998
16:41:17:988,0.9531,-0.0353,0.3002,1.000
16:41:17:994,0.9504,-0.0348,0.3031,0.998
16:41:17:999,0.9477,-0.0365,0.3036,0.996
16:41:18:005,0.9467,-0.0389,0.3063,0.996
16:41:18:009,0.9455,-0.0387,0.3080,0.995
16:41:18:014,0.9416,-0.0399,0.3085,0.992
16:41:18:019,0.9394,-0.0409,0.3095,0.990
16:41:18:024,0.9404,-0.0404,0.3095,0.991
16:41:18:038,0.9404,-0.0411,0.3102,0.991
16:41:18:039,0.9394,-0.0421,0.3085,0.990
16:41:18:040,0.9267,-0.0467,0.3095,0.978
16:41:18:045,0.9338,-0.0355,0.3092,0.984
16:41:18:050,0.9506,-0.0221,0.2914,0.995
16:41:18:055,0.9568,-0.0321,0.2780,0.997
16:41:18:059,0.9599,-0.0428,0.2811,1.001
16:41:18:064,0.9612,-0.0436,0.2890,1.005
16:41:18:072,0.9612,-0.0414,0.2929,1.006
16:41:18:074,0.9597,-0.0399,0.2946,1.005
16:41:18:079,0.9570,-0.0414,0.2970,1.003
16:41:18:084,0.9550,-0.0438,0.2987,1.002
16:41:18:089,0.9531,-0.0475,0.2956,0.999
16:41:18:095,0.9514,-0.0497,0.2912,0.996
16:41:18:099,0.9502,-0.0511,0.2885,0.994
16:41:18:105,0.9502,-0.0521,0.2868,0.994
16:41:18:109,0.9511,-0.0533,0.2853,0.994
16:41:18:114,0.9526,-0.0526,0.2853,0.996
16:41:18:119,0.9509,-0.0507,0.2885,0.995
16:41:18:125,0.9497,-0.0494,0.2931,0.995
16:41:18:139,0.9487,-0.0507,0.2975,0.996
16:41:18:140,0.9487,-0.0487,0.3007,0.996
16:41:18:141,0.9462,-0.0453,0.3044,0.995
16:41:18:146,0.9440,-0.0455,0.3058,0.993
16:41:18:150,0.9448,-0.0460,0.3048,0.994
16:41:18:155,0.9475,-0.0485,0.3022,0.996
16:41:18:159,0.9489,-0.0497,0.3002,0.997
16:41:18:165,0.9489,-0.0453,0.3012,0.997
16:41:18:169,0.9467,-0.0443,0.2997,0.994
16:41:18:174,0.9460,-0.0450,0.2965,0.992
16:41:18:180,0.9470,-0.0431,0.2934,0.992
16:41:18:185,0.9487,-0.0431,0.2892,0.993
16:41:18:190,0.9509,-0.0431,0.2858,0.994
16:41:18:196,0.9506,-0.0426,0.2858,0.994
16:41:18:200,0.9472,-0.0419,0.2880,0.991
16:41:18:205,0.9450,-0.0411,0.2897,0.989
16:41:18:209,0.9445,-0.0406,0.2902,0.989
16:41:18:215,0.9443,-0.0419,0.2892,0.988
16:41:18:220,0.9460,-0.0433,0.2868,0.989
16:41:18:225,0.9477,-0.0433,0.2846,0.990
16:41:18:238,0.9480,-0.0448,0.2819,0.990
16:41:18:239,0.9489,-0.0453,0.2799,0.990
16:41:18:240,0.9509,-0.0441,0.2770,0.991
16:41:18:245,0.9543,-0.0443,0.2750,0.994
16:41:18:250,0.9541,-0.0448,0.2762,0.994
16:41:18:255,0.9470,-0.0502,0.2872,0.991
16:41:18:260,0.9585,-0.0411,0.2887,1.002
16:41:18:265,0.9531,-0.0353,0.2787,0.994
16:41:18:270,0.9502,-0.0367,0.2699,0.988
16:41:18:275,0.9450,-0.0394,0.2684,0.983
16:41:18:280,0.9502,-0.0379,0.2682,0.988
16:41:18:285,0.9477,-0.0372,0.2672,0.985
16:41:18:290,0.9462,-0.0404,0.2745,0.986
